iso3c,year,value
AGO,2015,35.6
AGO,2025,42.3
BDI,2015,75.4
BDI,2025,74.3
BEN,2015,41.4
BEN,2025,21.9
BFA,2015,52.6
BFA,2025,34.6
BWA,2015,20.8
BWA,2025,20.1
CAF,2015,73.9
CAF,2025,67.1
CIV,2015,26.3
CIV,2025,16.1
CMR,2015,27.4
CMR,2025,28.2
COD,2015,84.3
COD,2025,81.1
COG,2015,39
COG,2025,51.7
ETH,2015,33.4
ETH,2025,41.8
GHA,2015,40.9
GHA,2025,38.9
GMB,2015,17
GMB,2025,20.3
GNB,2015,40.8
GNB,2025,39.8
GNQ,2015,6.5
GNQ,2025,10.4
KEN,2015,38.2
KEN,2025,42.5
LBR,2015,32.3
LBR,2025,32.9
LSO,2015,41.2
LSO,2025,44.7
MDG,2015,68.4
MDG,2025,66.5
MLI,2015,33
MLI,2025,33.9
MOZ,2015,74.5
MOZ,2025,81.8
MWI,2015,71
MWI,2025,76.6
NAM,2015,24.2
NAM,2025,28.3
NER,2015,62.9
NER,2025,46.6
NGA,2015,31.8
NGA,2025,50.9
RWA,1950,86.8
RWA,1951,86.1
RWA,1952,85.9
RWA,1953,85.6
RWA,1954,85
RWA,1955,84.8
RWA,1956,84.6
RWA,1957,84.4
RWA,1958,84.2
RWA,1959,83.5
RWA,1960,83.5
RWA,1961,84.8
RWA,1962,83.2
RWA,1963,85.5
RWA,1964,88.2
RWA,1965,87.5
RWA,1966,86.8
RWA,1967,86.1
RWA,1968,85.5
RWA,1969,84.1
RWA,1970,83.5
RWA,1971,83.9
RWA,1972,84.5
RWA,1973,84.4
RWA,1974,84.6
RWA,1975,85.5
RWA,1976,82.3
RWA,1977,82.6
RWA,1978,80.9
RWA,1979,78.8
RWA,1980,77.2
RWA,1981,76.8
RWA,1982,77
RWA,1983,76.6
RWA,1984,78.4
RWA,1985,78.3
RWA,1986,77.8
RWA,1987,78.5
RWA,1988,78.3
RWA,1989,79
RWA,1990,80.6
RWA,1991,81.5
RWA,1992,80.8
RWA,1993,83.8
RWA,1994,91.3
RWA,1995,83.3
RWA,1996,84.4
RWA,1997,84.6
RWA,1998,83.7
RWA,1999,82.9
RWA,2000,80.9
RWA,2001,78.8
RWA,2002,75.1
RWA,2003,75.4
RWA,2004,73.8
RWA,2005,71.6
RWA,2006,69.7
RWA,2007,68.6
RWA,2008,66.9
RWA,2009,65.6
RWA,2010,64.3
RWA,2011,62.5
RWA,2012,59.4
RWA,2013,58
RWA,2014,56
RWA,2015,54.6
RWA,2016,54.2
RWA,2017,54.5
RWA,2018,51.6
RWA,2019,48.4
RWA,2020,51.1
RWA,2021,46.9
RWA,2022,44.2
RWA,2023,38.6
RWA,2024,38
RWA,2025,36
SDN,2015,10.3
SDN,2025,58.9
SEN,2015,23.3
SEN,2025,16.6
SLE,2015,50.9
SLE,2025,50.9
SSD,2015,71.3
SSD,2025,86.2
STP,2015,14.8
STP,2025,13
SWZ,2015,46.3
SWZ,2025,39.5
TCD,2015,37.4
TCD,2025,40.7
TGO,2015,38
TGO,2025,28.3
TZA,2015,51.3
TZA,2025,48.3
UGA,2015,58.4
UGA,2025,54.8
ZAF,2015,27.7
ZAF,2025,17.8
ZMB,2015,67.9
ZMB,2025,70.4
ZWE,2015,39.8
ZWE,2025,45.2
BGD,1980,52.5
BGD,1981,51.6
BGD,1982,51.6
BGD,1983,50.7
BGD,1984,48.1
BGD,1985,45.9
BGD,1986,45.6
BGD,1987,48.8
BGD,1988,52.2
BGD,1989,52.5
BGD,1990,51.5
BGD,1991,50.3
BGD,1992,47.1
BGD,1993,45.7
BGD,1994,44
BGD,1995,42.3
BGD,1996,41
BGD,1997,39.8
BGD,1998,38.2
BGD,1999,36.3
BGD,2000,34.3
BGD,2001,33
BGD,2002,31.5
BGD,2003,29.9
BGD,2004,27.6
BGD,2005,24.9
BGD,2006,23.4
BGD,2007,22.2
BGD,2008,21.1
BGD,2009,20
BGD,2010,18.9
BGD,2011,18.2
BGD,2012,17.2
BGD,2013,16.6
BGD,2014,16
BGD,2015,15.2
BGD,2016,14.3
BGD,2017,12.3
BGD,2018,10.3
BGD,2019,9.1
BGD,2020,8.1
BGD,2021,6.9
BGD,2022,5.9
BGD,2023,6.3
BGD,2024,8.3
BGD,2025,9
BRA,1950,78.3
BRA,1951,77.8
BRA,1952,76.8
BRA,1953,76.4
BRA,1954,74.9
BRA,1955,73.5
BRA,1956,73.6
BRA,1957,72
BRA,1958,70
BRA,1959,68
BRA,1960,65.9
BRA,1961,64.3
BRA,1962,63.1
BRA,1963,64
BRA,1964,63.7
BRA,1965,64
BRA,1966,62.4
BRA,1967,61.8
BRA,1968,59.7
BRA,1969,57.6
BRA,1970,54.3
BRA,1971,50.5
BRA,1972,47.1
BRA,1973,43
BRA,1974,40.9
BRA,1975,39.9
BRA,1976,37.1
BRA,1977,36.2
BRA,1978,36.3
BRA,1979,33.9
BRA,1980,26.1
BRA,1981,29.7
BRA,1982,30.4
BRA,1983,36.8
BRA,1984,35.9
