month,best_est,lat,lon
2021-03-01,1,22,96.083333
2021-03-01,1,25.616667,96.316667
2022-04-01,2,21.936881,96.099927
2022-06-01,20,21.938958,95.556394
2022-06-01,4,22.228657,95.360755
2022-08-01,8,23.34841,93.38267
2022-08-01,15,24.213536,96.764702
2022-08-01,25,18.345696,96.857289
2022-08-01,11,19.45448,97.10774
2022-08-01,14,22.025839,95.234222
2023-06-01,2,18.18867,96.34958
2023-10-01,6,16.537659,98.14844
2021-03-01,1,16.79845,96.150408
2021-03-01,2,23.788583,95.679642
2022-04-01,1,16.997601,96.133688
2022-04-01,1,13.924376,98.163883
2022-06-01,3,22.155988,95.212782
2022-06-01,17,22.943258,95.371864
2022-06-01,35,22.577867,95.806672
2022-06-01,1,22.577867,95.806672
2022-06-01,2,22.577867,95.806672
2022-06-01,4,22.412343,95.083083
2022-06-01,13,21.67937,94.91147
2023-06-01,2,22.790157,95.765001
2023-06-01,1,22,96.083333
2023-07-01,1,14.17881,98.25983
2023-07-01,3,22.149919,94.883721
2023-07-01,1,19.020658,96.588492
2023-10-01,4,15.34365,97.932579
2021-11-01,1,21.933759,94.874023
2021-10-01,3,21.376475,93.966364
2022-04-01,1,16.778729,96.143507
2022-04-01,1,16.5491,96.05339
2022-04-01,2,16.794716,96.20821
2022-06-01,9,24.235603,96.063987
2022-06-01,1,16.79845,96.150408
2022-06-01,1,16.79845,96.150408
2022-06-01,3,23.574375,98.076855
2022-12-01,5,19.58744,97.14706
2023-06-01,1,22.790157,95.765001
2023-06-01,1,22.026436,96.016032
2023-06-01,1,12.9589,98.68145
2023-06-01,4,18.18867,96.34958
2023-06-01,2,18.18867,96.34958
2023-10-01,1,18.547024,96.580338
2023-10-01,1,22.577867,95.806672
2021-06-01,1,22.628791,95.233683
2021-06-01,2,21.26701,94.38808
2021-11-01,40,23.760029,96.233117
2021-11-01,2,21.66406,95.01533
2021-11-01,8,19.550728,97.157733
2022-04-01,96,16.537659,98.14844
2022-04-01,84,18.064,97.445
2022-06-01,4,17.420489,96.994378
2022-06-01,4,12.18698,98.83643
2022-06-01,2,13.91924,98.14254
2022-06-01,2,20.928447,97.483797
2022-12-01,2,22.624192,95.396269
2022-12-01,1,22.624192,95.396269
