lat,lon,month,price_index
16.85,96.27,2021-01-01,0.9
16.85,96.27,2021-02-01,0.91
16.85,96.27,2021-03-01,0.95
16.85,96.27,2021-04-01,0.98
16.85,96.27,2021-05-01,1.04
16.85,96.27,2021-06-01,1.03
16.85,96.27,2021-07-01,1.19
16.85,96.27,2021-08-01,1.29
16.85,96.27,2021-09-01,1.34
16.85,96.27,2021-10-01,1.45
16.85,96.27,2021-11-01,1.43
16.85,96.27,2021-12-01,1.44
16.85,96.27,2022-01-01,1.5
16.85,96.27,2022-02-01,1.58
16.85,96.27,2022-03-01,1.88
16.85,96.27,2022-04-01,1.78
16.85,96.27,2022-05-01,1.78
16.85,96.27,2022-06-01,1.91
16.85,96.27,2022-07-01,1.91
16.85,96.27,2022-08-01,2.17
16.85,96.27,2022-09-01,2.14
16.85,96.27,2022-10-01,1.99
16.85,96.27,2022-11-01,1.92
16.85,96.27,2022-12-01,1.9
16.85,96.27,2023-01-01,1.91
16.85,96.27,2023-02-01,2.03
16.85,96.27,2023-03-01,2.09
16.85,96.27,2023-04-01,2.14
16.85,96.27,2023-05-01,2.23
16.85,96.27,2023-06-01,2.31
16.85,96.27,2023-07-01,2.39
16.85,96.27,2023-08-01,2.5
16.85,96.27,2023-09-01,2.53
16.85,96.27,2023-10-01,2.49
16.85,96.27,2023-11-01,2.45
16.85,96.27,2023-12-01,2.49
20.4,92.78,2021-01-01,1.01
20.4,92.78,2021-02-01,1.03
20.4,92.78,2021-03-01,1.13
20.4,92.78,2021-04-01,1.15
20.4,92.78,2021-05-01,1.18
20.4,92.78,2021-06-01,1.16
20.4,92.78,2021-07-01,1.16
20.4,92.78,2021-08-01,1.16
20.4,92.78,2021-09-01,1.48
20.4,92.78,2021-10-01,1.53
20.4,92.78,2021-11-01,1.48
20.4,92.78,2021-12-01,1.37
20.4,92.78,2022-01-01,1.55
20.4,92.78,2022-02-01,1.7
20.4,92.78,2022-03-01,1.97
20.4,92.78,2022-04-01,1.87
20.4,92.78,2022-05-01,2
20.4,92.78,2022-06-01,2.08
20.4,92.78,2022-07-01,2.12
20.4,92.78,2022-08-01,2.33
20.4,92.78,2022-09-01,2.75
20.4,92.78,2022-10-01,2.32
20.4,92.78,2022-11-01,2.99
20.4,92.78,2022-12-01,2.45
20.4,92.78,2023-01-01,2.2
20.4,92.78,2023-02-01,2.2
20.4,92.78,2023-03-01,2.27
20.4,92.78,2023-04-01,2.39
20.4,92.78,2023-05-01,2.44
20.4,92.78,2023-06-01,2.53
20.4,92.78,2023-07-01,2.55
20.4,92.78,2023-08-01,2.68
20.4,92.78,2023-09-01,2.78
20.4,92.78,2023-10-01,2.67
20.4,92.78,2023-11-01,3.35
20.4,92.78,2023-12-01,4.55
20.1,92.99,2021-01-01,1.01
20.1,92.99,2021-02-01,1.07
20.1,92.99,2021-03-01,1.09
20.1,92.99,2021-04-01,1.15
20.1,92.99,2021-05-01,1.21
20.1,92.99,2021-06-01,1.18
20.1,92.99,2021-07-01,1.19
20.1,92.99,2021-08-01,1.23
20.1,92.99,2021-09-01,1.36
20.1,92.99,2021-10-01,1.49
20.1,92.99,2021-11-01,1.49
20.1,92.99,2021-12-01,1.35
20.1,92.99,2022-01-01,1.34
20.1,92.99,2022-02-01,1.58
20.1,92.99,2022-03-01,1.75
20.1,92.99,2022-04-01,1.94
20.1,92.99,2022-05-01,2.2
20.1,92.99,2022-06-01,2.28
20.1,92.99,2022-07-01,2.51
20.1,92.99,2022-08-01,2.82
20.1,92.99,2022-09-01,2.68
20.1,92.99,2022-10-01,2.59
20.1,92.99,2022-11-01,2.3
20.1,92.99,2022-12-01,2.06
20.1,92.99,2023-01-01,2.01
20.1,92.99,2023-02-01,2.12
20.1,92.99,2023-03-01,2.44
20.1,92.99,2023-04-01,2.25
20.1,92.99,2023-05-01,2.38
20.1,92.99,2023-06-01,2.38
20.1,92.99,2023-07-01,2.67
20.1,92.99,2023-08-01,3.02
20.1,92.99,2023-09-01,3.38
20.1,92.99,2023-10-01,2.77
20.1,92.99,2023-11-01,3.52
20.1,92.99,2023-12-01,4.43
20.72,92.96,2021-01-01,0.93
20.72,92.96,2021-02-01,0.93
20.72,92.96,2021-03-01,0.98
20.72,92.96,2021-04-01,1.11
20.72,92.96,2021-05-01,1.21
20.72,92.96,2021-06-01,1.2
20.72,92.96,2021-07-01,1.2
20.72,92.96,2021-08-01,1.28
20.72,92.96,2021-09-01,1.3
20.72,92.96,2021-10-01,1.41
20.72,92.96,2021-11-01,1.35
20.72,92.96,2021-12-01,1.3
20.72,92.96,2022-01-01,1.31
20.72,92.96,2022-02-01,1.55
20.72,92.96,2022-03-01,1.84
20.72,92.96,2022-04-01,1.88
20.72,92.96,2022-05-01,1.88
20.72,92.96,2022-06-01,2.11
20.72,92.96,2022-07-01,2.24
20.72,92.96,2022-08-01,2.26
20.72,92.96,2022-09-01,2.4
20.72,92.96,2022-10-01,2.36
20.72,92.96,2022-11-01,2.26
20.72,92.96,2022-12-01,2.16
20.72,92.96,2023-01-01,2.21
20.72,92.96,2023-02-01,2.23
20.72,92.96,2023-03-01,2.32
20.72,92.96,2023-04-01,2.4
20.72,92.96,2023-05-01,2.35
20.72,92.96,2023-06-01,2.54
20.72,92.96,2023-07-01,2.77
20.72,92.96,2023-08-01,2.89
20.72,92.96,2023-09-01,3.28
20.72,92.96,2023-10-01,3.66
20.72,92.96,2023-11-01,4.31
20.72,92.96,2023-12-01,5.32
22.77,99.22,2021-01-01,1.48
22.77,99.22,2021-02-01,1.64
22.77,99.22,2021-03-01,1.71
22.77,99.22,2021-04-01,1.77
22.77,99.22,2021-05-01,1.89
22.77,99.22,2021-06-01,1.89
22.77,99.22,2021-07-01,1.96
22.77,99.22,2021-08-01,2.02
22.77,99.22,2021-09-01,2.23
22.77,99.22,2021-10-01,2.33
22.77,99.22,2021-11-01,2.35
22.77,99.22,2021-12-01,2.36
22.77,99.22,2022-01-01,2.4
22.77,99.22,2022-02-01,2.44
22.77,99.22,2022-03-01,2.27
22.77,99.22,2022-04-01,2.27
22.77,99.22,2022-05-01,2.29
22.77,99.22,2022-06-01,2.37
22.77,99.22,2022-07-01,2.4
22.77,99.22,2022-08-01,2.62
22.77,99.22,2022-09-01,3.07
22.77,99.22,2022-10-01,3.1
22.77,99.22,2022-11-01,3.15
22.77,99.22,2022-12-01,3.11
22.77,99.22,2023-01-01,3.03
22.77,99.22,2023-02-01,3.13
22.77,99.22,2023-03-01,3.36
22.77,99.22,2023-04-01,3.43
22.77,99.22,2023-05-01,3.57
22.77,99.22,2023-06-01,3.62
22.77,99.22,2023-07-01,3.68
22.77,99.22,2023-08-01,3.94
22.77,99.22,2023-09-01,4.06
22.77,99.22,2023-10-01,4.02
22.77,99.22,2023-11-01,4.4
22.77,99.22,2023-12-01,4.06
20.68,92.44,2021-01-01,0.92
20.68,92.44,2021-02-01,0.99
20.68,92.44,2021-03-01,0.99
20.68,92.44,2021-04-01,1.01
20.68,92.44,2021-05-01,1.06
20.68,92.44,2021-06-01,1.04
20.68,92.44,2021-07-01,1.07
20.68,92.44,2021-08-01,1.13
20.68,92.44,2021-09-01,1.26
20.68,92.44,2021-10-01,1.36
20.68,92.44,2021-11-01,1.29
20.68,92.44,2021-12-01,1.3
20.68,92.44,2022-01-01,1.31
20.68,92.44,2022-02-01,1.41
20.68,92.44,2022-03-01,1.74
20.68,92.44,2022-04-01,1.83
20.68,92.44,2022-05-01,1.88
20.68,92.44,2022-06-01,2
20.68,92.44,2022-07-01,2.06
20.68,92.44,2022-08-01,2.36
20.68,92.44,2022-09-01,2.64
20.68,92.44,2022-10-01,2.45
20.68,92.44,2022-11-01,2.39
20.68,92.44,2022-12-01,2.03
20.68,92.44,2023-01-01,1.96
20.68,92.44,2023-02-01,2.03
20.68,92.44,2023-03-01,2.15
20.68,92.44,2023-04-01,2.19
20.68,92.44,2023-05-01,2.25
20.68,92.44,2023-06-01,2.27
20.68,92.44,2023-07-01,2.38
20.68,92.44,2023-08-01,2.64
20.68,92.44,2023-09-01,2.66
20.68,92.44,2023-10-01,2.64
20.68,92.44,2023-11-01,3.28
20.68,92.44,2023-12-01,4
19.8,94.05,2021-01-01,0.92
19.8,94.05,2021-02-01,0.94
19.8,94.05,2021-03-01,1.04
19.8,94.05,2021-04-01,1.09
19.8,94.05,2021-05-01,1.11
19.8,94.05,2021-06-01,1.11
19.8,94.05,2021-07-01,1.15
19.8,94.05,2021-08-01,1.22
19.8,94.05,2021-09-01,1.27
19.8,94.05,2021-10-01,1.39
19.8,94.05,2021-11-01,1.38
19.8,94.05,2021-12-01,1.39
19.8,94.05,2022-01-01,1.43
19.8,94.05,2022-02-01,1.52
19.8,94.05,2022-03-01,1.78
19.8,94.05,2022-04-01,1.86
19.8,94.05,2022-05-01,1.88
19.8,94.05,2022-06-01,2.02
19.8,94.05,2022-07-01,2.04
19.8,94.05,2022-08-01,2.36
19.8,94.05,2022-09-01,2.35
19.8,94.05,2022-10-01,1.97
19.8,94.05,2022-11-01,2.12
19.8,94.05,2022-12-01,1.96
19.8,94.05,2023-01-01,2.04
19.8,94.05,2023-02-01,2.15
19.8,94.05,2023-03-01,2.25
19.8,94.05,2023-04-01,2.28
19.8,94.05,2023-05-01,2.31
19.8,94.05,2023-06-01,2.3
19.8,94.05,2023-07-01,2.41
19.8,94.05,2023-08-01,2.9
19.8,94.05,2023-09-01,2.92
19.8,94.05,2023-10-01,2.89
19.8,94.05,2023-11-01,3.02
19.8,94.05,2023-12-01,4.03
16.92,96.1,2021-01-01,0.9
16.92,96.1,2021-02-01,0.91
16.92,96.1,2021-03-01,0.95
16.92,96.1,2021-04-01,0.98
16.92,96.1,2021-05-01,1.04
16.92,96.1,2021-06-01,1.03
16.92,96.1,2021-07-01,1.14
16.92,96.1,2021-08-01,1.29
16.92,96.1,2021-09-01,1.35
16.92,96.1,2021-10-01,1.45
16.92,96.1,2021-11-01,1.43
16.92,96.1,2021-12-01,1.48
16.92,96.1,2022-01-01,1.45
16.92,96.1,2022-02-01,1.54
16.92,96.1,2022-03-01,1.83
16.92,96.1,2022-04-01,1.68
16.92,96.1,2022-05-01,1.87
16.92,96.1,2022-06-01,1.91
