iso3c,year,value
EAS,2000,119
EAS,2001,117
EAS,2002,112
EAS,2003,108
EAS,2004,106
EAS,2005,101
EAS,2006,99
EAS,2007,95
EAS,2008,92
EAS,2009,88
EAS,2010,86
EAS,2011,83
EAS,2012,78
EAS,2013,76
EAS,2014,71
EAS,2015,70
EAS,2016,66
EAS,2017,62
EAS,2018,64
EAS,2019,63
EAS,2020,72
EAS,2021,94
EAS,2022,72
EAS,2023,66
ECS,2000,25
ECS,2001,24
ECS,2002,24
ECS,2003,23
ECS,2004,22
ECS,2005,21
ECS,2006,19
ECS,2007,19
ECS,2008,18
ECS,2009,17
ECS,2010,16
ECS,2011,16
ECS,2012,15
ECS,2013,14
ECS,2014,14
ECS,2015,14
ECS,2016,13
ECS,2017,13
ECS,2018,12
ECS,2019,12
ECS,2020,16
ECS,2021,18
ECS,2022,14
ECS,2023,11
LCN,2000,92
LCN,2001,90
LCN,2002,87
LCN,2003,87
LCN,2004,87
LCN,2005,85
LCN,2006,85
LCN,2007,84
LCN,2008,84
LCN,2009,83
LCN,2010,81
LCN,2011,77
LCN,2012,75
LCN,2013,74
LCN,2014,74
LCN,2015,74
LCN,2016,75
LCN,2017,76
LCN,2018,77
LCN,2019,76
LCN,2020,94
LCN,2021,140
LCN,2022,93
LCN,2023,77
MEA,2000,103
MEA,2001,97
MEA,2002,91
MEA,2003,87
MEA,2004,83
MEA,2005,78
MEA,2006,75
MEA,2007,71
MEA,2008,67
MEA,2009,65
MEA,2010,63
MEA,2011,61
MEA,2012,59
MEA,2013,57
MEA,2014,55
MEA,2015,54
MEA,2016,53
MEA,2017,52
MEA,2018,51
MEA,2019,51
MEA,2020,60
MEA,2021,74
MEA,2022,50
MEA,2023,47
NAC,2000,12
NAC,2001,12
NAC,2002,13
NAC,2003,13
NAC,2004,13
NAC,2005,13
NAC,2006,13
NAC,2007,13
NAC,2008,14
NAC,2009,14
NAC,2010,14
NAC,2011,15
NAC,2012,15
NAC,2013,16
NAC,2014,16
NAC,2015,17
NAC,2016,17
NAC,2017,17
NAC,2018,17
NAC,2019,17
NAC,2020,22
NAC,2021,30
NAC,2022,20
NAC,2023,16
SAS,2000,415
SAS,2001,396
SAS,2002,376
SAS,2003,357
SAS,2004,338
SAS,2005,318
SAS,2006,296
SAS,2007,278
SAS,2008,259
SAS,2009,243
SAS,2010,229
SAS,2011,215
SAS,2012,203
SAS,2013,192
SAS,2014,182
SAS,2015,173
SAS,2016,163
SAS,2017,155
SAS,2018,148
SAS,2019,142
SAS,2020,145
SAS,2021,194
SAS,2022,130
SAS,2023,120
SSF,2000,744
SSF,2001,726
SSF,2002,709
SSF,2003,685
SSF,2004,666
SSF,2005,658
SSF,2006,656
SSF,2007,654
SSF,2008,656
SSF,2009,652
SSF,2010,643
SSF,2011,633
SSF,2012,620
SSF,2013,610
SSF,2014,604
SSF,2015,593
SSF,2016,575
SSF,2017,554
SSF,2018,526
SSF,2019,507
SSF,2020,486
SSF,2021,501
SSF,2022,455
SSF,2023,448
WLD,2000,328
WLD,2001,321
WLD,2002,311
WLD,2003,301
WLD,2004,291
WLD,2005,283
WLD,2006,276
WLD,2007,269
WLD,2008,264
WLD,2009,258
WLD,2010,253
WLD,2011,247
WLD,2012,239
WLD,2013,235
WLD,2014,231
WLD,2015,228
WLD,2016,220
WLD,2017,215
WLD,2018,211
WLD,2019,207
WLD,2020,211
WLD,2021,242
WLD,2022,203
WLD,2023,197
