iso3c,year,value
EAS,2000,20.2
EAS,2001,19.2
EAS,2002,18.1
EAS,2003,16.9
EAS,2004,15.9
EAS,2005,14.9
EAS,2006,14
EAS,2007,13.1
EAS,2008,12.3
EAS,2009,11.6
EAS,2010,10.9
EAS,2011,10.4
EAS,2012,9.7
EAS,2013,9.3
EAS,2014,8.8
EAS,2015,8.4
EAS,2016,8
EAS,2017,7.6
EAS,2018,7.6
EAS,2019,7.4
EAS,2020,7.5
EAS,2021,7.5
EAS,2022,7.4
EAS,2023,7.3
ECS,2000,10.3
ECS,2001,9.8
ECS,2002,9.3
ECS,2003,8.8
ECS,2004,8.5
ECS,2005,8.1
ECS,2006,7.7
ECS,2007,7.3
ECS,2008,6.9
ECS,2009,6.5
ECS,2010,6.2
ECS,2011,6
ECS,2012,5.8
ECS,2013,5.6
ECS,2014,5.4
ECS,2015,5.1
ECS,2016,4.9
ECS,2017,4.8
ECS,2018,4.7
ECS,2019,4.6
ECS,2020,4.5
ECS,2021,4.3
ECS,2022,4.2
ECS,2023,4.2
LCN,2000,16
LCN,2001,15.3
LCN,2002,14.5
LCN,2003,13.9
LCN,2004,13.3
LCN,2005,12.8
LCN,2006,12.4
LCN,2007,12
LCN,2008,11.7
LCN,2009,11.4
LCN,2010,11.1
LCN,2011,10.8
LCN,2012,10.6
LCN,2013,10.3
LCN,2014,10.1
LCN,2015,10.1
LCN,2016,10.2
LCN,2017,9.9
LCN,2018,9.8
LCN,2019,9.7
LCN,2020,9.6
LCN,2021,9.4
LCN,2022,9
LCN,2023,8.7
MEA,2000,21.7
MEA,2001,21.1
MEA,2002,20.5
MEA,2003,19.9
MEA,2004,19.3
MEA,2005,18.7
MEA,2006,18
MEA,2007,17.3
MEA,2008,16.6
MEA,2009,16
MEA,2010,15.4
MEA,2011,14.9
MEA,2012,14.4
MEA,2013,13.9
MEA,2014,13.5
MEA,2015,13.1
MEA,2016,12.8
MEA,2017,12.5
MEA,2018,12.3
MEA,2019,12.2
MEA,2020,12
MEA,2021,11.7
MEA,2022,11.4
MEA,2023,11.1
NAC,2000,4.6
NAC,2001,4.6
NAC,2002,4.6
NAC,2003,4.6
NAC,2004,4.5
NAC,2005,4.4
NAC,2006,4.4
NAC,2007,4.3
NAC,2008,4.2
NAC,2009,4.1
NAC,2010,4.1
NAC,2011,4
NAC,2012,4
NAC,2013,4
NAC,2014,3.9
NAC,2015,3.8
NAC,2016,3.8
NAC,2017,3.8
NAC,2018,3.7
NAC,2019,3.7
NAC,2020,3.6
NAC,2021,3.5
NAC,2022,3.4
NAC,2023,3.4
SAS,2000,46.2
SAS,2001,44.8
SAS,2002,43.5
SAS,2003,42.2
SAS,2004,40.9
SAS,2005,39.8
SAS,2006,38.8
SAS,2007,37.8
SAS,2008,36.8
SAS,2009,35.8
SAS,2010,34.9
SAS,2011,33.8
SAS,2012,32.7
SAS,2013,31.6
SAS,2014,30.6
SAS,2015,29.5
SAS,2016,28.4
SAS,2017,27.5
SAS,2018,26.4
SAS,2019,25.3
SAS,2020,24.3
SAS,2021,23.4
SAS,2022,22.6
SAS,2023,21.8
SSF,2000,39.8
SSF,2001,38.9
SSF,2002,38
SSF,2003,37.1
SSF,2004,36.2
SSF,2005,35.5
SSF,2006,34.7
SSF,2007,34.1
SSF,2008,33.4
SSF,2009,32.9
SSF,2010,32.3
SSF,2011,31.9
SSF,2012,31.3
SSF,2013,30.8
SSF,2014,30.5
SSF,2015,30.1
SSF,2016,29.7
SSF,2017,29.3
SSF,2018,28.8
SSF,2019,28.3
SSF,2020,27.8
SSF,2021,27.3
SSF,2022,26.9
SSF,2023,26.3
WLD,2000,30.7
WLD,2001,29.9
WLD,2002,29
WLD,2003,28
WLD,2004,27
WLD,2005,26.2
WLD,2006,25.3
WLD,2007,24.5
WLD,2008,23.7
WLD,2009,23.1
WLD,2010,22.5
WLD,2011,21.9
WLD,2012,21.1
WLD,2013,20.6
WLD,2014,20
WLD,2015,19.7
WLD,2016,19.1
WLD,2017,18.7
WLD,2018,18.6
WLD,2019,18.3
WLD,2020,18.2
WLD,2021,17.9
WLD,2022,17.7
WLD,2023,17.3
