iso3c,year,value
EAS,2000,39.8
EAS,2001,37.7
EAS,2002,35.6
EAS,2003,32.7
EAS,2004,31.6
EAS,2005,28.9
EAS,2006,27.1
EAS,2007,25.6
EAS,2008,25.1
EAS,2009,22.7
EAS,2010,21.6
EAS,2011,20.6
EAS,2012,19.3
EAS,2013,18.5
EAS,2014,17.5
EAS,2015,16.9
EAS,2016,16.1
EAS,2017,15.3
EAS,2018,15.2
EAS,2019,14.8
EAS,2020,14.9
EAS,2021,14.9
EAS,2022,14.7
EAS,2023,14.5
ECS,2000,21.1
ECS,2001,19.8
ECS,2002,18.7
ECS,2003,17.5
ECS,2004,16.6
ECS,2005,15.6
ECS,2006,14.7
ECS,2007,13.9
ECS,2008,13.1
ECS,2009,12.4
ECS,2010,11.7
ECS,2011,11.2
ECS,2012,10.8
ECS,2013,10.4
ECS,2014,10
ECS,2015,9.5
ECS,2016,9.1
ECS,2017,8.8
ECS,2018,8.5
ECS,2019,8.3
ECS,2020,8.1
ECS,2021,7.9
ECS,2022,7.8
ECS,2023,8
LCN,2000,33
LCN,2001,31.3
LCN,2002,29.8
LCN,2003,28.4
LCN,2004,27.1
LCN,2005,25.9
LCN,2006,24.8
LCN,2007,23.8
LCN,2008,22.9
LCN,2009,22.1
LCN,2010,22.8
LCN,2011,20.6
LCN,2012,20
LCN,2013,19.4
LCN,2014,18.9
LCN,2015,18.5
LCN,2016,18.6
LCN,2017,17.9
LCN,2018,17.5
LCN,2019,17.2
LCN,2020,16.9
LCN,2021,16.5
LCN,2022,16.2
LCN,2023,15.9
MEA,2000,44
MEA,2001,41.9
MEA,2002,40
MEA,2003,38.2
MEA,2004,36.4
MEA,2005,34.8
MEA,2006,33.2
MEA,2007,31.5
MEA,2008,30.1
MEA,2009,28.8
MEA,2010,27.6
MEA,2011,26.8
MEA,2012,26.6
MEA,2013,25.8
MEA,2014,24.9
MEA,2015,24.3
MEA,2016,23.3
MEA,2017,22.8
MEA,2018,22.5
MEA,2019,21.9
MEA,2020,21.2
MEA,2021,20.7
MEA,2022,20.2
MEA,2023,20
NAC,2000,8.3
NAC,2001,8.2
NAC,2002,8.1
NAC,2003,8
NAC,2004,7.9
NAC,2005,7.8
NAC,2006,7.7
NAC,2007,7.6
NAC,2008,7.5
NAC,2009,7.3
NAC,2010,7.2
NAC,2011,7
NAC,2012,6.9
NAC,2013,6.8
NAC,2014,6.7
NAC,2015,6.6
NAC,2016,6.6
NAC,2017,6.5
NAC,2018,6.4
NAC,2019,6.4
NAC,2020,6.3
NAC,2021,6.3
NAC,2022,6.3
NAC,2023,6.4
SAS,2000,93.4
SAS,2001,89.7
SAS,2002,86.2
SAS,2003,83
SAS,2004,79.9
SAS,2005,76.7
SAS,2006,73.8
SAS,2007,70.9
SAS,2008,68.1
SAS,2009,65.4
SAS,2010,62.6
SAS,2011,59.9
SAS,2012,57.1
SAS,2013,54.5
SAS,2014,52
SAS,2015,49.5
SAS,2016,47.1
SAS,2017,44.9
SAS,2018,42.8
SAS,2019,40.9
SAS,2020,39.2
SAS,2021,37.6
SAS,2022,36.1
SAS,2023,34.8
SSF,2000,150.2
SSF,2001,145
SSF,2002,139.3
SSF,2003,133.9
SSF,2004,128.9
SSF,2005,123.6
SSF,2006,118.1
SSF,2007,113.3
SSF,2008,108.7
SSF,2009,106.9
SSF,2010,101.3
SSF,2011,101.2
SSF,2012,94.8
SSF,2013,91.6
SSF,2014,90.3
SSF,2015,88.1
SSF,2016,85.9
SSF,2017,84.2
SSF,2018,79.8
SSF,2019,77.7
SSF,2020,74.7
SSF,2021,72.7
SSF,2022,72.8
SSF,2023,68.1
WLD,2000,76.7
WLD,2001,74.1
WLD,2002,71.5
WLD,2003,68.6
WLD,2004,66.2
WLD,2005,63.3
WLD,2006,60.6
WLD,2007,58
WLD,2008,55.8
WLD,2009,54
WLD,2010,51.7
WLD,2011,50.6
WLD,2012,47.8
WLD,2013,46.1
WLD,2014,44.9
WLD,2015,43.7
WLD,2016,42.4
WLD,2017,41.3
WLD,2018,40.2
WLD,2019,39.5
WLD,2020,38.7
WLD,2021,38.2
WLD,2022,38.2
WLD,2023,36.7
