iso3c,value,evalperiod
DZA,1.09,2000-2021
ECU,0.67,2000-2021
HND,-0.18,2000-2021
IRQ,1.53,2000-2021
PRK,1.44,2000-2021
KGZ,0.18,2000-2021
LBY,-0.84,2000-2021
NIC,1.07,2000-2021
LCA,-0.32,2000-2021
VCT,-2.44,2013-2021
BLZ,-0.82,2000-2022
BRA,-1.31,2004-2022
COL,0.62,2000-2022
PRY,2.06,2000-2022
PER,0.83,2000-2022
TON,0.81,2000-2022
AFG,1.46,2000-2023
AGO,1.84,2000-2023
BHS,-0.38,2005-2023
BGD,2.37,2000-2023
BEN,0.03,2000-2023
BOL,1.08,2000-2023
BWA,-0.25,2000-2023
BFA,1.05,2000-2023
BDI,1.18,2000-2023
KHM,1.88,2000-2023
CMR,1.36,2000-2023
CAF,1.11,2000-2023
TCD,0.73,2000-2023
COM,1.39,2000-2023
COD,0.45,2000-2023
COG,1.01,2000-2023
CIV,0.07,2000-2023
DJI,1.63,2000-2023
DOM,-1.1,2000-2023
GNQ,1.22,2000-2023
ERI,1.33,2000-2023
SWZ,1.81,2000-2023
ETH,2.18,2000-2023
GAB,-0.43,2000-2023
GMB,1.22,2000-2023
GHA,0.95,2000-2023
GTM,1.16,2000-2023
GIN,1.02,2000-2023
GNB,1.44,2000-2023
GUY,1.75,2000-2023
HTI,0.39,2000-2023
IND,2.69,2000-2023
IDN,1.27,2000-2023
JAM,-1.02,2000-2023
KEN,0.56,2000-2023
KIR,0.89,2000-2023
LAO,2.66,2000-2023
LSO,-0.2,2000-2023
LBR,0.36,2000-2023
MDG,0.53,2000-2023
MWI,1.11,2000-2023
MLI,1.03,2000-2023
MHL,0.78,2000-2023
MRT,0.76,2000-2023
FSM,0.83,2000-2023
MAR,2.73,2000-2023
MOZ,2.76,2000-2023
MMR,1.01,2000-2023
NAM,1.56,2000-2023
NRU,0.02,2000-2023
NPL,1.82,2000-2023
NER,1.3,2000-2023
NGA,0.2,2000-2023
PAK,1.47,2000-2023
PLW,0.64,2000-2023
PNG,0.78,2000-2023
PHL,0.91,2000-2023
RWA,1.95,2000-2023
WSM,-0.19,2000-2023
STP,1.84,2000-2023
SEN,1.24,2000-2023
SLE,2.13,2000-2023
SLB,0.58,2000-2023
SOM,1.11,2000-2023
ZAF,0.76,2000-2023
SSD,1.18,2000-2023
KNA,1.45,2000-2023
SDN,1.29,2000-2023
SUR,2.25,2000-2023
TZA,0.98,2000-2023
TLS,2.06,2000-2023
TGO,0.47,2000-2023
TUV,0.53,2000-2023
UGA,1.47,2000-2023
VUT,0.6,2000-2023
VEN,-1.88,2000-2023
YEM,1.26,2000-2023
ZMB,2.47,2000-2023
ZWE,0.16,2000-2023
DMA,,
TJK,,
TKM,,
PSE,,
AZE,,
BTN,,
GRD,,
TTO,,
