iso3c,value,evalperiod
DZA,0.68,2000-2023
ECU,,
HND,,
IRQ,1.04,2000-2023
PRK,,
KGZ,,
LBY,,
NIC,,
LCA,,
VCT,,
BLZ,,
BRA,,
COL,,
PRY,,
PER,,
TON,,
AFG,1.25,2000-2023
AGO,1.5,2000-2023
BHS,,
BGD,1.89,2000-2023
BEN,0.77,2000-2023
BOL,1.61,2000-2023
BWA,-0.83,2002-2023
BFA,1.15,2000-2023
BDI,1.35,2000-2023
KHM,2.1,2000-2022
CMR,0.8,2000-2023
CAF,0.78,2000-2023
TCD,0.78,2000-2023
COM,0.97,2000-2023
COD,0.96,2000-2023
COG,1.11,2000-2023
CIV,0.86,2000-2023
DJI,0.99,2000-2023
DOM,0.11,2000-2023
GNQ,1.21,2000-2023
ERI,0.95,2000-2023
SWZ,0.11,2000-2023
ETH,1.27,2000-2023
GAB,0.87,2000-2023
GMB,1.22,2000-2023
GHA,1.16,2000-2023
GTM,,
GIN,0.96,2000-2023
GNB,1.13,2000-2023
GUY,1.02,2000-2023
HTI,0.53,2000-2023
IND,2.01,2000-2023
IDN,,
JAM,0.16,2000-2023
KEN,0.44,2000-2023
KIR,0.41,2000-2023
LAO,1.43,2000-2023
LSO,0.61,2000-2023
LBR,1.13,2000-2023
MDG,0.6,2000-2023
MWI,1.56,2000-2023
MLI,1.01,2000-2023
MHL,0.61,2000-2023
MRT,1.33,2000-2023
FSM,0.84,2000-2023
MAR,,
MOZ,1.27,2000-2023
MMR,1.33,2000-2023
NAM,-0.28,2000-2023
NRU,,
NPL,1.84,2000-2023
NER,0.61,2000-2023
NGA,0.72,2000-2023
PAK,0.86,2000-2023
PLW,0.31,2000-2022
PNG,0.84,2000-2023
PHL,0.27,2000-2023
RWA,1.87,2000-2023
WSM,,
STP,,
SEN,1.18,2000-2023
SLE,1.13,2000-2023
SLB,,
SOM,0.57,2000-2023
ZAF,,
SSD,0.69,2000-2023
KNA,,
SDN,0.92,2000-2023
SUR,,
TZA,1,2000-2023
TLS,1.26,2000-2023
TGO,1.05,2000-2023
TUV,,
UGA,1.22,2000-2023
VUT,,
VEN,-0.12,2015-2023
YEM,1.21,2000-2023
ZMB,0.96,2000-2023
ZWE,0.22,2000-2023
DMA,-1.65,2000-2023
TJK,1.44,2000-2023
TKM,0.58,2000-2023
PSE,,
AZE,1.89,2000-2023
BTN,1.74,2000-2023
GRD,-0.35,2017-2023
TTO,0.68,2000-2023
