iso3c,value,evalperiod
DZA,,
ECU,,
HND,,
IRQ,,
PRK,,
KGZ,,
LBY,-0.12,2000-2023
NIC,,
LCA,,
VCT,,
BLZ,,
BRA,,
COL,,
PRY,,
PER,,
TON,,
AFG,1.15,2000-2023
AGO,1.5,2000-2023
BHS,,
BGD,1.37,2000-2023
BEN,0.75,2000-2023
BOL,,
BWA,0.95,2000-2023
BFA,1.1,2000-2023
BDI,1.52,2000-2023
KHM,,
CMR,1.02,2000-2023
CAF,0.78,2000-2023
TCD,0.78,2000-2023
COM,0.92,2000-2023
COD,1.04,2000-2023
COG,1.38,2000-2023
CIV,0.99,2000-2023
DJI,0.91,2000-2023
DOM,0.32,2000-2023
GNQ,1.06,2000-2023
ERI,1.17,2000-2023
SWZ,1.18,2000-2023
ETH,1.47,2000-2023
GAB,1.06,2000-2023
GMB,1.26,2000-2023
GHA,1.32,2000-2023
GTM,,
GIN,0.74,2000-2023
GNB,1.22,2000-2023
GUY,0.8,2000-2023
HTI,0.84,2000-2023
IND,1.6,2000-2023
IDN,,
JAM,,
KEN,1.17,2000-2023
KIR,0.25,2000-2023
LAO,1.35,2000-2023
LSO,0.83,2000-2023
LBR,1.27,2000-2023
MDG,0.64,2000-2023
MWI,2,2000-2023
MLI,0.94,2000-2023
MHL,0.55,2000-2023
MRT,1.27,2000-2023
FSM,,
MAR,,
MOZ,1.29,2000-2023
MMR,1.12,2000-2023
NAM,0.86,2000-2023
NRU,,
NPL,1.46,2000-2023
NER,0.83,2000-2023
NGA,0.72,2000-2023
PAK,0.82,2000-2023
PLW,,
PNG,0.77,2000-2023
PHL,0.43,2000-2023
RWA,2.02,2000-2023
WSM,,
STP,,
SEN,1.62,2000-2023
SLE,1.08,2000-2023
SLB,,
SOM,0.66,2000-2023
ZAF,0.96,2000-2023
SSD,0.8,2000-2023
KNA,,
SDN,0.96,2000-2023
SUR,,
TZA,1.59,2000-2023
TLS,1.06,2000-2023
TGO,0.96,2000-2023
TUV,,
UGA,1.76,2000-2023
VUT,,
VEN,,
YEM,1.15,2000-2023
ZMB,1.64,2000-2023
ZWE,1.06,2000-2023
DMA,-0.97,2010-2023
TJK,1.43,2000-2023
TKM,0.74,2000-2023
PSE,0.19,2000-2023
AZE,,
BTN,,
GRD,,
TTO,,
