iso3c,year,value,uhc
AFG,2000,1372,30
AFG,2023,521,42
AGO,2000,659,28
AGO,2023,183,44
ALB,2000,15,56
ALB,2023,7,71
AND,2000,14,69
AND,2023,11,75
ARE,2000,8,73
ARE,2023,3,84
ARG,2000,58,74
ARG,2023,33,80
ARM,2000,40,57
ARM,2023,19,69
ATG,2000,37,76
ATG,2023,35,81
AUS,2000,7,84
AUS,2023,2,89
AUT,2000,7,71
AUT,2023,6,84
AZE,2000,46,54
AZE,2023,18,67
BDI,2000,860,24
BDI,2023,392,48
BEL,2000,8,81
BEL,2023,4,86
BEN,2000,529,25
BEN,2023,518,38
BFA,2000,524,19
BFA,2023,242,47
BGD,2000,523,24
BGD,2023,115,54
BGR,2000,19,62
BGR,2023,6,73
BHR,2000,25,74
BHR,2023,17,78
BHS,2000,51,79
BHS,2023,76,80
BIH,2000,11,54
BIH,2023,6,64
BLR,2000,20,69
BLR,2023,1,80
BLZ,2000,78,64
BLZ,2023,67,70
BOL,2000,287,45
BOL,2023,146,67
BRA,2000,69,71
BRA,2023,67,84
BRB,2000,46,77
BRB,2023,35,82
BRN,2000,48,72
BRN,2023,36,84
BTN,2000,324,46
BTN,2023,47,69
BWA,2000,136,41
BWA,2023,155,60
CAF,2000,1490,23
CAF,2023,692,39
CAN,2000,9,82
CAN,2023,12,92
CHE,2000,9,81
CHE,2023,5,87
CHL,2000,33,64
CHL,2023,10,84
CHN,2000,56,64
CHN,2023,16,85
CIV,2000,378,26
CIV,2023,359,46
CMR,2000,678,32
CMR,2023,258,48
COD,2000,585,25
COD,2023,427,41
COG,2000,509,25
COG,2023,241,45
COL,2000,95,66
COL,2023,59,82
COM,2000,476,25
COM,2023,179,52
CPV,2000,110,49
CPV,2023,40,71
CRI,2000,36,76
CRI,2023,24,84
CUB,2000,48,74
CUB,2023,35,86
CYP,2000,12,66
CYP,2023,14,76
CZE,2000,7,77
CZE,2023,3,83
DEU,2000,7,79
DEU,2023,4,87
DJI,2000,501,31
DJI,2023,162,47
DMA,2000,61,68
DMA,2023,36,75
DNK,2000,9,74
DNK,2023,4,85
DOM,2000,76,68
DOM,2023,124,73
DZA,2000,123,68
DZA,2023,62,70
ECU,2000,123,66
ECU,2023,55,78
EGY,2000,53,73
EGY,2023,17,71
ERI,2000,741,24
ERI,2023,291,40
ESP,2000,5,74
ESP,2023,3,84
EST,2000,27,66
EST,2023,5,79
ETH,2000,870,13
ETH,2023,195,33
FIN,2000,7,77
FIN,2023,8,86
FJI,2000,47,60
FJI,2023,30,69
FRA,2000,9,78
FRA,2023,7,82
FSM,2000,204,42
FSM,2023,129,65
GAB,2000,178,38
GAB,2023,233,48
GBR,2000,12,77
GBR,2023,8,88
GEO,2000,43,63
GEO,2023,20,71
GHA,2000,472,28
GHA,2023,234,56
GIN,2000,951,19
GIN,2023,494,43
GMB,2000,810,38
GMB,2023,354,53
GNB,2000,1295,25
GNB,2023,505,43
GNQ,2000,406,24
GNQ,2023,174,49
GRC,2000,4,63
GRC,2023,5,77
GRD,2000,46,73
GRD,2023,48,78
GTM,2000,166,56
GTM,2023,94,58
GUY,2000,171,61
GUY,2023,75,73
HND,2000,82,56
HND,2023,47,64
HRV,2000,8,69
HRV,2023,3,76
HTI,2000,440,32
HTI,2023,328,44
HUN,2000,14,73
HUN,2023,12,80
IDN,2000,311,44
IDN,2023,140,67
IND,2000,362,31
IND,2023,80,69
IRL,2000,8,72
