iso3c,year,value,uhc
AFG,2000,62.2,30
AFG,2023,34.3,42
AGO,2000,49.9,28
AGO,2023,25.6,44
ALB,2000,12.1,56
ALB,2023,6.9,71
AND,2000,3.5,69
AND,2023,1.3,75
ARE,2000,5.9,73
ARE,2023,2.5,84
ARG,2000,11.1,74
ARG,2023,5,80
ARM,2000,16.1,57
ARM,2023,5.3,69
ATG,2000,10.9,76
ATG,2023,5.4,81
AUS,2000,3.5,84
AUS,2023,2.3,89
AUT,2000,3.1,71
AUT,2023,2,84
AZE,2000,34.4,54
AZE,2023,12.8,67
BDI,2000,36.6,24
BDI,2023,19.6,48
BEL,2000,3,81
BEL,2023,2.1,86
BEN,2000,38.8,25
BEN,2023,28,38
BFA,2000,40.4,19
BFA,2023,24.5,47
BGD,2000,43.2,24
BGD,2023,17.9,54
BGR,2000,7.9,62
BGR,2023,2.6,73
BHR,2000,5,74
BHR,2023,4.4,78
BHS,2000,7.9,79
BHS,2023,9.2,80
BIH,2000,6.6,54
BIH,2023,4.5,64
BLR,2000,5.2,69
BLR,2023,0.8,80
BLZ,2000,12.1,64
BLZ,2023,9.3,70
BOL,2000,29.7,45
BOL,2023,12.2,67
BRA,2000,18.1,71
BRA,2023,7.6,84
BRB,2000,9,77
BRB,2023,6.9,82
BRN,2000,5,72
BRN,2023,4.9,84
BTN,2000,32.1,46
BTN,2023,12.7,69
BWA,2000,11,41
BWA,2023,20.9,60
CAF,2000,43,23
CAF,2023,30.7,39
CAN,2000,3.8,82
CAN,2023,3.4,92
CHE,2000,3.5,81
CHE,2023,2.8,87
CHL,2000,5.8,64
CHL,2023,4.6,84
CHN,2000,21.4,64
CHN,2023,2.8,85
CIV,2000,40.8,26
CIV,2023,28.2,46
CMR,2000,35.6,32
CMR,2023,25.2,48
COD,2000,38.3,25
COD,2023,25.3,41
COG,2000,30.7,25
COG,2023,17.7,45
COL,2000,13.5,66
COL,2023,6.5,82
COM,2000,34.7,25
COM,2023,22.5,52
CPV,2000,17.9,49
CPV,2023,8.3,71
CRI,2000,7.6,76
CRI,2023,7.2,84
CUB,2000,4.1,74
CUB,2023,4.2,86
CYP,2000,3.7,66
CYP,2023,1.9,76
CZE,2000,2.7,77
CZE,2023,1.3,83
DEU,2000,2.8,79
DEU,2023,2.3,87
DJI,2000,43.2,31
DJI,2023,28.2,47
DMA,2000,12.6,68
DMA,2023,30.8,75
DNK,2000,3.5,74
DNK,2023,1.8,85
DOM,2000,23,68
DOM,2023,21.7,73
DZA,2000,22.7,68
DZA,2023,15.3,70
ECU,2000,14.2,66
ECU,2023,7.1,78
EGY,2000,22.5,73
EGY,2023,9.3,71
ERI,2000,27.1,24
ERI,2023,16.4,40
ESP,2000,2.8,74
ESP,2023,1.7,84
EST,2000,5.3,66
EST,2023,1,79
ETH,2000,47.8,13
ETH,2023,27.4,33
FIN,2000,2.5,77
FIN,2023,1.3,86
FJI,2000,10,60
FJI,2023,14.9,69
FRA,2000,2.7,78
FRA,2023,2.7,82
FSM,2000,20.3,42
FSM,2023,12.1,65
GAB,2000,26.6,38
GAB,2023,16.8,48
GBR,2000,3.8,77
GBR,2023,2.7,88
GEO,2000,22.6,63
GEO,2023,5.3,71
GHA,2000,35.8,28
GHA,2023,21.2,56
GIN,2000,46.1,19
GIN,2023,30.3,43
GMB,2000,40.4,38
GMB,2023,23.7,53
GNB,2000,55.2,25
GNB,2023,32.7,43
GNQ,2000,46.2,24
GNQ,2023,27.2,49
GRC,2000,3.9,63
GRC,2023,2.3,77
GRD,2000,7.8,73
GRD,2023,12.4,78
GTM,2000,21.3,56
GTM,2023,10,58
GUY,2000,27,61
