iso3c,year,value,uhc
AFG,2000,131.7,30
AFG,2023,55.5,42
AGO,2000,203,28
AGO,2023,64,44
ALB,2000,27.1,56
ALB,2023,9.4,71
AND,2000,7.6,69
AND,2023,2.6,75
ARE,2000,10.7,73
ARE,2023,5,84
ARG,2000,19.4,74
ARG,2023,9.6,80
ARM,2000,30.8,57
ARM,2023,10,69
ATG,2000,14.9,76
ATG,2023,9.3,81
AUS,2000,6.2,84
AUS,2023,3.7,89
AUT,2000,5.5,71
AUT,2023,3.1,84
AZE,2000,74,54
AZE,2023,18.6,67
BDI,2000,153.7,24
BDI,2023,49.2,48
BEL,2000,5.9,81
BEL,2023,3.6,86
BEN,2000,136.1,25
BEN,2023,77.9,38
BFA,2000,178.1,19
BFA,2023,77.3,47
BGD,2000,85.4,24
BGD,2023,30.6,54
BGR,2000,17.5,62
BGR,2023,6.1,73
BHR,2000,12.5,74
BHR,2023,8.6,78
BHS,2000,16.2,79
BHS,2023,12.7,80
BIH,2000,9.5,54
BIH,2023,6,64
BLR,2000,12.8,69
BLR,2023,2.4,80
BLZ,2000,24.5,64
BLZ,2023,12.7,70
BOL,2000,75.7,45
BOL,2023,23.1,67
BRA,2000,34.5,71
BRA,2023,14.4,84
BRB,2000,14.4,77
BRB,2023,10,82
BRN,2000,10.3,72
BRN,2023,9.4,84
BTN,2000,78.5,46
BTN,2023,23.1,69
BWA,2000,81.1,41
BWA,2023,39.6,60
CAF,2000,165.5,23
CAF,2023,92.2,39
CAN,2000,6.2,82
CAN,2023,5.1,92
CHE,2000,5.6,81
CHE,2023,3.9,87
CHL,2000,10.9,64
CHL,2023,7.2,84
CHN,2000,36.7,64
CHN,2023,6.2,85
CIV,2000,140.5,26
CIV,2023,67.1,46
CMR,2000,144.4,32
CMR,2023,67.2,48
COD,2000,159.2,25
COD,2023,73.2,41
COG,2000,113.7,25
COG,2023,40.5,45
COL,2000,25.1,66
COL,2023,12,82
COM,2000,79.6,25
COM,2023,39.8,52
CPV,2000,36,49
CPV,2023,11.6,71
CRI,2000,13.1,76
CRI,2023,10.5,84
CUB,2000,8.6,74
CUB,2023,8.3,86
CYP,2000,6.6,66
CYP,2023,3.5,76
CZE,2000,5.5,77
CZE,2023,2.6,83
DEU,2000,5.4,79
DEU,2023,3.7,87
DJI,2000,99.5,31
DJI,2023,50.4,47
DMA,2000,19.4,68
DMA,2023,35.5,75
DNK,2000,5.6,74
DNK,2023,3.4,85
DOM,2000,39.8,68
DOM,2023,31.4,73
DZA,2000,41.6,68
DZA,2023,22,70
ECU,2000,29.6,66
ECU,2023,13.1,78
EGY,2000,46.6,73
EGY,2023,17.5,71
ERI,2000,85.3,24
ERI,2023,35.4,40
ESP,2000,5.4,74
ESP,2023,3.1,84
EST,2000,11,66
EST,2023,2.1,79
ETH,2000,140.4,13
ETH,2023,46.5,33
FIN,2000,4.3,77
FIN,2023,2.3,86
FJI,2000,22.7,60
FJI,2023,29.1,69
FRA,2000,5.4,78
FRA,2023,4.3,82
FSM,2000,38.6,42
FSM,2023,23.1,65
GAB,2000,73.7,38
GAB,2023,33.2,48
GBR,2000,6.5,77
GBR,2023,4.5,88
GEO,2000,36.3,63
GEO,2023,9.2,71
GHA,2000,100.2,28
GHA,2023,37.1,56
GIN,2000,165.4,19
GIN,2023,95,43
GMB,2000,113.1,38
GMB,2023,44.1,53
GNB,2000,173.8,25
GNB,2023,69.3,43
GNQ,2000,155.9,24
GNQ,2023,70.6,49
GRC,2000,6.4,63
GRC,2023,3.7,77
GRD,2000,15.5,73
GRD,2023,18.3,78
GTM,2000,52.1,56
GTM,2023,21.4,58
GUY,2000,46.5,61
GUY,2023,25.7,73
HND,2000,37.3,56
HND,2023,15.5,64
