start,code,year,flfp,time,timec
5.4,YEM,2022,5,30,37
5.4,YEM,2023,4.9,30,38
5.4,YEM,2015,5.4,30,30
5.4,YEM,2016,5.3,30,31
5.4,YEM,2017,5.3,30,32
5.4,YEM,2018,5.2,30,33
5.4,YEM,2019,5.1,30,34
5.4,YEM,2020,5.1,30,35
5.4,YEM,2021,5.1,30,36
5.4,YEM,2024,4.9,30,39
5.4,YEM,2025,4.8,30,40
13.6,SYR,2017,13.9,NA,NA
13.6,SYR,2015,13.6,NA,NA
13.6,SYR,2016,13.7,NA,NA
13.6,SYR,2018,14.1,NA,NA
13.6,SYR,2019,14.3,NA,NA
13.6,SYR,2020,13.6,NA,NA
13.6,SYR,2021,13.7,NA,NA
13.6,SYR,2022,14,NA,NA
13.6,SYR,2023,13.8,NA,NA
13.6,SYR,2024,13.7,NA,NA
13.6,SYR,2025,13.6,NA,NA
14.4,JOR,2020,16,244.757936507936,249.757936507936
14.4,JOR,2019,14.5,244.757936507936,248.757936507936
14.4,JOR,2018,15.5,244.757936507936,247.757936507936
14.4,JOR,2025,17.3,244.757936507936,254.757936507936
14.4,JOR,2016,15.9,244.757936507936,245.757936507936
14.4,JOR,2024,17.2,244.757936507936,253.757936507936
14.4,JOR,2021,14.9,244.757936507936,250.757936507936
14.4,JOR,2015,14.4,244.757936507936,244.757936507936
14.4,JOR,2023,17.1,244.757936507936,252.757936507936
14.4,JOR,2017,17.6,244.757936507936,246.757936507936
14.4,JOR,2022,14.9,244.757936507936,251.757936507936
14.9,IRQ,2022,11.8,249.667027417027,256.667027417027
14.9,IRQ,2021,11.5,249.667027417027,255.667027417027
14.9,IRQ,2017,11.9,249.667027417027,251.667027417027
14.9,IRQ,2018,12,249.667027417027,252.667027417027
14.9,IRQ,2020,11.5,249.667027417027,254.667027417027
14.9,IRQ,2024,11.6,249.667027417027,258.667027417027
14.9,IRQ,2025,11.5,249.667027417027,259.667027417027
14.9,IRQ,2015,14.9,249.667027417027,249.667027417027
14.9,IRQ,2023,11.5,249.667027417027,257.667027417027
14.9,IRQ,2016,15.4,249.667027417027,250.667027417027
14.9,IRQ,2019,12.2,249.667027417027,253.667027417027
15.5,IRN,2018,18.9,255.121572871573,258.121572871573
15.5,IRN,2021,14.4,255.121572871573,261.121572871573
15.5,IRN,2020,15,255.121572871573,260.121572871573
15.5,IRN,2015,15.5,255.121572871573,255.121572871573
15.5,IRN,2017,18.8,255.121572871573,257.121572871573
15.5,IRN,2019,18.3,255.121572871573,259.121572871573
15.5,IRN,2025,15.6,255.121572871573,265.121572871573
15.5,IRN,2024,15.7,255.121572871573,264.121572871573
15.5,IRN,2016,17.5,255.121572871573,256.121572871573
15.5,IRN,2022,14.9,255.121572871573,262.121572871573
15.5,IRN,2023,15.7,255.121572871573,263.121572871573
16.5,DZA,2018,16.1,263.909451659452,266.909451659452
16.5,DZA,2020,14.5,263.909451659452,268.909451659452
16.5,DZA,2021,14.8,263.909451659452,269.909451659452
16.5,DZA,2022,15.8,263.909451659452,270.909451659452
16.5,DZA,2023,15.8,263.909451659452,271.909451659452
16.5,DZA,2017,16.2,263.909451659452,265.909451659452
16.5,DZA,2015,16.5,263.909451659452,263.909451659452
16.5,DZA,2025,15.7,263.909451659452,273.909451659452
16.5,DZA,2019,16.1,263.909451659452,267.909451659452
16.5,DZA,2016,16.3,263.909451659452,264.909451659452
16.5,DZA,2024,15.8,263.909451659452,272.909451659452
18.6,DJI,2021,19.4,280.576118326118,286.576118326118
18.6,DJI,2023,19.9,280.576118326118,288.576118326118
