iso_a2,series,value
ABW,SL.TLF.ACTI.FE.ZS,NA
AFG,SL.TLF.ACTI.FE.ZS,5.3
AGO,SL.TLF.ACTI.FE.ZS,73.325
ALB,SL.TLF.ACTI.FE.ZS,71.988
AND,SL.TLF.ACTI.FE.ZS,NA
ARE,SL.TLF.ACTI.FE.ZS,54.338
ARG,SL.TLF.ACTI.FE.ZS,61.777
ARM,SL.TLF.ACTI.FE.ZS,62.946
ASM,SL.TLF.ACTI.FE.ZS,NA
ATG,SL.TLF.ACTI.FE.ZS,NA
AUS,SL.TLF.ACTI.FE.ZS,77.393
AUT,SL.TLF.ACTI.FE.ZS,73.799
AZE,SL.TLF.ACTI.FE.ZS,69.293
BDI,SL.TLF.ACTI.FE.ZS,80.786
BEL,SL.TLF.ACTI.FE.ZS,67.172
BEN,SL.TLF.ACTI.FE.ZS,76.565
BFA,SL.TLF.ACTI.FE.ZS,65.503
BGD,SL.TLF.ACTI.FE.ZS,41.475
BGR,SL.TLF.ACTI.FE.ZS,69.71
BHR,SL.TLF.ACTI.FE.ZS,44.847
BHS,SL.TLF.ACTI.FE.ZS,81.39
BIH,SL.TLF.ACTI.FE.ZS,52.499
BLR,SL.TLF.ACTI.FE.ZS,76.562
BLZ,SL.TLF.ACTI.FE.ZS,49.322
BMU,SL.TLF.ACTI.FE.ZS,NA
BOL,SL.TLF.ACTI.FE.ZS,74.853
BRA,SL.TLF.ACTI.FE.ZS,61.511
BRB,SL.TLF.ACTI.FE.ZS,76.411
BRN,SL.TLF.ACTI.FE.ZS,59.759
BTN,SL.TLF.ACTI.FE.ZS,59.648
BWA,SL.TLF.ACTI.FE.ZS,66.728
CAF,SL.TLF.ACTI.FE.ZS,66.102
CAN,SL.TLF.ACTI.FE.ZS,76.717
CHE,SL.TLF.ACTI.FE.ZS,80.728
CHI,SL.TLF.ACTI.FE.ZS,64.507
CHL,SL.TLF.ACTI.FE.ZS,62.188
CHN,SL.TLF.ACTI.FE.ZS,69.576
CIV,SL.TLF.ACTI.FE.ZS,60.89
CMR,SL.TLF.ACTI.FE.ZS,57.184
COD,SL.TLF.ACTI.FE.ZS,62.309
COG,SL.TLF.ACTI.FE.ZS,66.566
COL,SL.TLF.ACTI.FE.ZS,57.676
COM,SL.TLF.ACTI.FE.ZS,49.492
CPV,SL.TLF.ACTI.FE.ZS,56.354
CRI,SL.TLF.ACTI.FE.ZS,53.457
CUB,SL.TLF.ACTI.FE.ZS,50.427
CUW,SL.TLF.ACTI.FE.ZS,NA
CYM,SL.TLF.ACTI.FE.ZS,NA
CYP,SL.TLF.ACTI.FE.ZS,74.282
CZE,SL.TLF.ACTI.FE.ZS,71.878
DEU,SL.TLF.ACTI.FE.ZS,75.97
DJI,SL.TLF.ACTI.FE.ZS,20.433
DMA,SL.TLF.ACTI.FE.ZS,NA
DNK,SL.TLF.ACTI.FE.ZS,79.848
DOM,SL.TLF.ACTI.FE.ZS,59.208
DZA,SL.TLF.ACTI.FE.ZS,15.704
ECU,SL.TLF.ACTI.FE.ZS,55.751
EGY,SL.TLF.ACTI.FE.ZS,19.872
ERI,SL.TLF.ACTI.FE.ZS,76.187
ESP,SL.TLF.ACTI.FE.ZS,71.362
EST,SL.TLF.ACTI.FE.ZS,80.815
ETH,SL.TLF.ACTI.FE.ZS,60.348
FIN,SL.TLF.ACTI.FE.ZS,78.671
FJI,SL.TLF.ACTI.FE.ZS,41.298
FRA,SL.TLF.ACTI.FE.ZS,71.147
FRO,SL.TLF.ACTI.FE.ZS,NA
FSM,SL.TLF.ACTI.FE.ZS,NA
GAB,SL.TLF.ACTI.FE.ZS,43.386
GBR,SL.TLF.ACTI.FE.ZS,73.493
GEO,SL.TLF.ACTI.FE.ZS,63.808
GHA,SL.TLF.ACTI.FE.ZS,57.371
GIB,SL.TLF.ACTI.FE.ZS,NA
GIN,SL.TLF.ACTI.FE.ZS,44.053
GMB,SL.TLF.ACTI.FE.ZS,46.9
GNB,SL.TLF.ACTI.FE.ZS,61.586
GNQ,SL.TLF.ACTI.FE.ZS,54.47
GRC,SL.TLF.ACTI.FE.ZS,62.687
GRD,SL.TLF.ACTI.FE.ZS,NA
GRL,SL.TLF.ACTI.FE.ZS,NA
GTM,SL.TLF.ACTI.FE.ZS,40.335
GUM,SL.TLF.ACTI.FE.ZS,66.723
GUY,SL.TLF.ACTI.FE.ZS,51.661
HKG,SL.TLF.ACTI.FE.ZS,66.224
HND,SL.TLF.ACTI.FE.ZS,41.564
HRV,SL.TLF.ACTI.FE.ZS,67.381
HTI,SL.TLF.ACTI.FE.ZS,60.353
HUN,SL.TLF.ACTI.FE.ZS,74.285
IDN,SL.TLF.ACTI.FE.ZS,55.857
IMN,SL.TLF.ACTI.FE.ZS,NA
IND,SL.TLF.ACTI.FE.ZS,34.875
IRL,SL.TLF.ACTI.FE.ZS,72.975
IRN,SL.TLF.ACTI.FE.ZS,15.647
IRQ,SL.TLF.ACTI.FE.ZS,11.533
ISL,SL.TLF.ACTI.FE.ZS,83.953
ISR,SL.TLF.ACTI.FE.ZS,72.692
ITA,SL.TLF.ACTI.FE.ZS,57.372
