,ISO3,Sex.Code,country,Year.x,unpaid,Year.y,total,paid,diff
1,ARG,F,Argentina,2013,5.620473504,2013,7.665273504,2.0448,0
2,ARG,M,Argentina,2013,2.219664216,2013,6.520464216,4.3008,0
3,ARM,F,Armenia,2008,5.198,2008,6.881333333,1.683333333,0
4,ARM,M,Armenia,2008,1.049,2008,5.899,4.85,0
5,AUS,F,Australia,2006,5,2006,7.566666667,2.566666667,0
6,AUS,M,Australia,2006,2.733333333,2006,7.416666667,4.683333334,0
7,AZE,F,Azerbaijan,2008,6.1,2008,7.833333333,1.733333333,0
8,AZE,M,Azerbaijan,2008,2.133333333,2008,6.8,4.666666667,0
9,BOL,F,Bolivia (Plurinational State of),2001,5.548622131,2001,9.047788739,3.499166608,0
10,BOL,M,Bolivia (Plurinational State of),2001,2.91206789,2001,8.278355598,5.366287708,0
11,BRA,F,Brazil,2017,2.78595288,2017,5.190752911,2.404800031,0
12,BRA,M,Brazil,2017,1.23186168,2017,5.08626161,3.85439993,0
13,BTN,F,Bhutan,2015,3.6,2015,7.9,4.3,0
14,BTN,M,Bhutan,2015,1.416666667,2015,7.483333333,6.066666666,0
15,CHE,F,Switzerland,2020,4.155,2020,6.6719614,2.5169614,0
16,CHE,M,Switzerland,2020,2.753,2020,6.5765079,3.8235079,0
17,CHL,F,Chile,2008,3.82248,2008,6.389146667,2.566666667,0
18,CHL,M,Chile,2008,1.2159453,2008,6.049278633,4.833333333,0
19,CHN,F,China,2018,3.683333333,2018,7.616666667,3.933333334,0
20,CHN,M,China,2018,1.416666667,2018,7.183333333,5.766666666,0
21,CMR,F,Cameroon,2014,3.797005689,2014,7.698867921,3.901862232,0
22,CMR,M,Cameroon,2014,1.096281428,2014,6.763167948,5.66688652,0
23,COL,F,Colombia,2017,1.204922222,2017,7.106937031,5.902014809,0
24,COL,M,Colombia,2017,0.7026305556,2017,6.759920054,6.057289498,0
25,DOM,F,Dominican Republic,2016,4.010129242,2016,6.705329242,2.6952,0
26,DOM,M,Dominican Republic,2016,0.9085461044,2016,5.838146104,4.9296,0
27,ECU,F,Ecuador,2012,4.738811645,2012,7.935611645,3.1968,0
28,ECU,M,Ecuador,2012,1.133261489,2012,7.315661489,6.1824,0
29,FRA,F,France,2010,3.7855547,2010,6.068888033,2.283333333,0
30,FRA,M,France,2010,2.2787139,2010,5.912047233,3.633333333,0
31,GBR,F,United Kingdom of Great Britain and Northern Ireland,2022,3.841252948,2022,6.893477444,3.052224496,0
32,GBR,M,United Kingdom of Great Britain and Northern Ireland,2022,2.940423744,2022,6.980127954,4.03970421,0
33,GEO,F,Georgia,2021,4.269350809,2021,6.840074601,2.570723792,0
34,GEO,M,Georgia,2021,0.8901368742,2021,5.648956244,4.75881937,0
35,GTM,F,Guatemala,2017,4.675856323,2017,6.804656323,2.1288,0
36,GTM,M,Guatemala,2017,0.6252888672,2017,6.250888867,5.6256,0
37,HKG,F,"China, Hong Kong Special Administrative Region",2013,2.6,2013,5.5,2.9,0
38,HKG,M,"China, Hong Kong Special Administrative Region",2013,0.8,2013,4.9,4.1,0
39,HND,F,Honduras,2009,4.150970221,2009,6.099770221,1.9488,0
40,HND,M,Honduras,2009,1.035342425,2009,5.976942425,4.9416,0
41,IRN,F,Iran (Islamic Republic of),2009,5.05,2009,5.766666667,0.716666667,0
42,IRN,M,Iran (Islamic Republic of),2009,1.25,2009,5.983333333,4.733333333,0
43,ITA,F,Italy,2014,4.79,2014,6.96,2.17,0
44,ITA,M,Italy,2014,1.8,2014,5.96,4.16,0
45,LSO,F,Lesotho,2003,3.733333333,2003,6.45,2.716666667,0
46,LSO,M,Lesotho,2003,1.483333333,2003,6.366666667,4.883333334,0
47,MAR,F,Morocco,2012,5,2012,6.35,1.35,0
