year,level,location,income_group,value
2000,safely_managed,total,HIC,91.99931446
2001,safely_managed,total,HIC,91.98618593
2002,safely_managed,total,HIC,92.43052375
2003,safely_managed,total,HIC,92.41078608
2004,safely_managed,total,HIC,92.41921654
2005,safely_managed,total,HIC,92.42653642
2006,safely_managed,total,HIC,92.43495266
2007,safely_managed,total,HIC,94.46927145
2008,safely_managed,total,HIC,94.52186225
2009,safely_managed,total,HIC,94.57945203
2010,safely_managed,total,HIC,94.67177818
2011,safely_managed,total,HIC,94.76836564
2012,safely_managed,total,HIC,94.8872375
2013,safely_managed,total,HIC,94.9996914
2014,safely_managed,total,HIC,95.1121949
2015,safely_managed,total,HIC,95.20316863
2016,safely_managed,total,HIC,95.28829282
2017,safely_managed,total,HIC,95.36591047
2018,safely_managed,total,HIC,95.43824795
2019,safely_managed,total,HIC,95.51055744
2020,safely_managed,total,HIC,95.58504001
2021,safely_managed,total,HIC,94.20167625
2022,safely_managed,total,HIC,94.3030606
2000,safely_managed,total,UMC,69.02201783
2001,safely_managed,total,UMC,69.26152459
2002,safely_managed,total,UMC,70.20835181
2003,safely_managed,total,UMC,70.88645499
2004,safely_managed,total,UMC,71.54848477
2005,safely_managed,total,UMC,72.1999855
2006,safely_managed,total,UMC,72.84390733
2007,safely_managed,total,UMC,73.47462864
2008,safely_managed,total,UMC,74.07593884
2009,safely_managed,total,UMC,74.65374381
2010,safely_managed,total,UMC,75.2137593
2011,safely_managed,total,UMC,75.74298738
2012,safely_managed,total,UMC,76.24761648
2013,safely_managed,total,UMC,76.78368386
2014,safely_managed,total,UMC,77.30681841
2015,safely_managed,total,UMC,77.8164122
2016,safely_managed,total,UMC,78.3066754
2017,safely_managed,total,UMC,78.78415964
2018,safely_managed,total,UMC,79.22914797
2019,safely_managed,total,UMC,79.64304194
2020,safely_managed,total,UMC,80.01458331
2021,safely_managed,total,UMC,80.35261634
2022,safely_managed,total,UMC,80.62070193
2000,safely_managed,total,LMC,44.09997726
2001,safely_managed,total,LMC,44.8488059
2002,safely_managed,total,LMC,45.61371774
2003,safely_managed,total,LMC,46.38552375
2004,safely_managed,total,LMC,47.23976828
2005,safely_managed,total,LMC,48.15262132
2006,safely_managed,total,LMC,49.07581056
2007,safely_managed,total,LMC,50.01147241
2008,safely_managed,total,LMC,50.47310321
2009,safely_managed,total,LMC,51.48517772
2010,safely_managed,total,LMC,52.50096455
2011,safely_managed,total,LMC,53.51915342
2012,safely_managed,total,LMC,54.60416911
2013,safely_managed,total,LMC,55.68801793
2014,safely_managed,total,LMC,56.76385231
2015,safely_managed,total,LMC,57.74320093
2016,safely_managed,total,LMC,58.70042049
2017,safely_managed,total,LMC,59.64120868
2018,safely_managed,total,LMC,60.56471504
2019,safely_managed,total,LMC,61.46061205
2020,safely_managed,total,LMC,62.3224142
2021,safely_managed,total,LMC,63.17350646
2022,safely_managed,total,LMC,63.79932676
2000,safely_managed,total,LIC,18.91068364
2001,safely_managed,total,LIC,19.04770086
2002,safely_managed,total,LIC,19.27861046
2003,safely_managed,total,LIC,19.56293323
2004,safely_managed,total,LIC,19.86467965
2005,safely_managed,total,LIC,20.2245697
2006,safely_managed,total,LIC,20.66024515
2007,safely_managed,total,LIC,21.13699989
2008,safely_managed,total,LIC,21.61314675
2009,safely_managed,total,LIC,22.05239389
2010,safely_managed,total,LIC,22.5262523
2011,safely_managed,total,LIC,22.58218454
2012,safely_managed,total,LIC,23.0053935
2013,safely_managed,total,LIC,23.34935347
2014,safely_managed,total,LIC,23.71102024
2015,safely_managed,total,LIC,24.18121308
2016,safely_managed,total,LIC,24.73885749
2017,safely_managed,total,LIC,25.32074956
2018,safely_managed,total,LIC,25.99323612
2019,safely_managed,total,LIC,26.71071369
2020,safely_managed,total,LIC,27.41627689
2021,safely_managed,total,LIC,28.09101496
2022,safely_managed,total,LIC,28.60294834
2000,safely_managed,total,WLD,60.81621768
2001,safely_managed,total,WLD,61.13020193
2002,safely_managed,total,WLD,61.79828248
2003,safely_managed,total,WLD,62.36324598
2004,safely_managed,total,WLD,62.96559623
2005,safely_managed,total,WLD,63.65581628
2006,safely_managed,total,WLD,63.95269099
2007,safely_managed,total,WLD,64.63399975
2008,safely_managed,total,WLD,64.87971135
2009,safely_managed,total,WLD,65.39738092
2010,safely_managed,total,WLD,65.89751121
2011,safely_managed,total,WLD,66.42658502
2012,safely_managed,total,WLD,67.05404572
2013,safely_managed,total,WLD,67.71787343
2014,safely_managed,total,WLD,68.38146414
2015,safely_managed,total,WLD,69.05840356
2016,safely_managed,total,WLD,69.72374153
2017,safely_managed,total,WLD,70.38040291
2018,safely_managed,total,WLD,71.02423738
2019,safely_managed,total,WLD,71.65621682
2020,safely_managed,total,WLD,72.2536278
2021,safely_managed,total,WLD,72.49171198
2022,safely_managed,total,WLD,72.92715228
