year,region,region_label,location,level,value
2000,EAS,East Asia & Pacific,rural,safely_managed,
2001,EAS,East Asia & Pacific,rural,safely_managed,
2002,EAS,East Asia & Pacific,rural,safely_managed,
2003,EAS,East Asia & Pacific,rural,safely_managed,
2004,EAS,East Asia & Pacific,rural,safely_managed,
2005,EAS,East Asia & Pacific,rural,safely_managed,
2006,EAS,East Asia & Pacific,rural,safely_managed,
2007,EAS,East Asia & Pacific,rural,safely_managed,
2008,EAS,East Asia & Pacific,rural,safely_managed,
2009,EAS,East Asia & Pacific,rural,safely_managed,
2010,EAS,East Asia & Pacific,rural,safely_managed,
2011,EAS,East Asia & Pacific,rural,safely_managed,
2012,EAS,East Asia & Pacific,rural,safely_managed,
2013,EAS,East Asia & Pacific,rural,safely_managed,
2014,EAS,East Asia & Pacific,rural,safely_managed,
2015,EAS,East Asia & Pacific,rural,safely_managed,42.37237317
2016,EAS,East Asia & Pacific,rural,safely_managed,42.81809018
2017,EAS,East Asia & Pacific,rural,safely_managed,43.26373796
2018,EAS,East Asia & Pacific,rural,safely_managed,43.70615538
2019,EAS,East Asia & Pacific,rural,safely_managed,44.14259073
2020,EAS,East Asia & Pacific,rural,safely_managed,44.56791684
2021,EAS,East Asia & Pacific,rural,safely_managed,44.99643319
2022,EAS,East Asia & Pacific,rural,safely_managed,45.3809905
2023,EAS,East Asia & Pacific,rural,safely_managed,45.72039461
2024,EAS,East Asia & Pacific,rural,safely_managed,57.66008192
2000,ECS,Europe & Central Asia,rural,safely_managed,70.15485502
2001,ECS,Europe & Central Asia,rural,safely_managed,70.3401756
2002,ECS,Europe & Central Asia,rural,safely_managed,70.62610493
2003,ECS,Europe & Central Asia,rural,safely_managed,70.92259875
2004,ECS,Europe & Central Asia,rural,safely_managed,71.87716206
2005,ECS,Europe & Central Asia,rural,safely_managed,74.35459082
2006,ECS,Europe & Central Asia,rural,safely_managed,75.28821951
2007,ECS,Europe & Central Asia,rural,safely_managed,76.24824434
2008,ECS,Europe & Central Asia,rural,safely_managed,77.21331649
2009,ECS,Europe & Central Asia,rural,safely_managed,78.16620836
2010,ECS,Europe & Central Asia,rural,safely_managed,79.06546698
2011,ECS,Europe & Central Asia,rural,safely_managed,79.95792307
2012,ECS,Europe & Central Asia,rural,safely_managed,80.84165666
2013,ECS,Europe & Central Asia,rural,safely_managed,81.69927946
2014,ECS,Europe & Central Asia,rural,safely_managed,82.10032525
2015,ECS,Europe & Central Asia,rural,safely_managed,82.48166734
2016,ECS,Europe & Central Asia,rural,safely_managed,82.87075693
2017,ECS,Europe & Central Asia,rural,safely_managed,83.27035385
2018,ECS,Europe & Central Asia,rural,safely_managed,83.59059812
2019,ECS,Europe & Central Asia,rural,safely_managed,83.90494318
2020,ECS,Europe & Central Asia,rural,safely_managed,84.13016563
2021,ECS,Europe & Central Asia,rural,safely_managed,84.32968623
2022,ECS,Europe & Central Asia,rural,safely_managed,84.48065147
2023,ECS,Europe & Central Asia,rural,safely_managed,84.57665008
2024,ECS,Europe & Central Asia,rural,safely_managed,84.72213235
2000,LCN,Latin America & Caribbean,rural,safely_managed,40.83996206
2001,LCN,Latin America & Caribbean,rural,safely_managed,41.24534446
2002,LCN,Latin America & Caribbean,rural,safely_managed,41.67314481
2003,LCN,Latin America & Caribbean,rural,safely_managed,42.10376056
