year,Global,level,value
2000,Total,Safely managed,61.24826
2001,Total,Safely managed,61.48111
2002,Total,Safely managed,61.80238
2003,Total,Safely managed,62.12813
2004,Total,Safely managed,62.45578
2005,Total,Safely managed,62.80723
2006,Total,Safely managed,63.13166
2007,Total,Safely managed,63.44926
2008,Total,Safely managed,63.76205
2009,Total,Safely managed,64.29065
2010,Total,Safely managed,64.81646
2011,Total,Safely managed,65.32277
2012,Total,Safely managed,65.88699
2013,Total,Safely managed,66.4713
2014,Total,Safely managed,67.0612
2015,Total,Safely managed,67.65044
2016,Total,Safely managed,68.24117
2017,Total,Safely managed,68.81892
2018,Total,Safely managed,69.39036
2019,Total,Safely managed,69.94604
2020,Total,Safely managed,70.47846
2021,Total,Safely managed,70.99528
2022,Total,Safely managed,71.508
2023,Total,Safely managed,71.99074
2024,Total,Safely managed,73.66861
2000,Total,Basic,20.35382
2001,Total,Basic,20.43825
2002,Total,Basic,20.70381
2003,Total,Basic,20.84914
2004,Total,Basic,20.98812
2005,Total,Basic,21.07194
2006,Total,Basic,21.21154
2007,Total,Basic,21.352
2008,Total,Basic,21.50531
2009,Total,Basic,21.42467
2010,Total,Basic,21.33939
2011,Total,Basic,21.19036
2012,Total,Basic,21.04048
2013,Total,Basic,20.86834
2014,Total,Basic,20.68754
2015,Total,Basic,20.5045
2016,Total,Basic,20.31312
2017,Total,Basic,20.11443
2018,Total,Basic,19.93541
2019,Total,Basic,19.75994
2020,Total,Basic,19.59746
2021,Total,Basic,19.48797
2022,Total,Basic,19.37025
2023,Total,Basic,19.24817
2024,Total,Basic,17.80605
2000,Total,Limited,2.623908
2001,Total,Limited,2.673294
2002,Total,Limited,2.706065
2003,Total,Limited,2.74247
2004,Total,Limited,2.782403
2005,Total,Limited,2.830656
2006,Total,Limited,2.868979
2007,Total,Limited,2.90755
2008,Total,Limited,2.942162
2009,Total,Limited,2.978864
2010,Total,Limited,3.018277
2011,Total,Limited,3.094935
2012,Total,Limited,3.143268
2013,Total,Limited,3.188417
2014,Total,Limited,3.233366
2015,Total,Limited,3.278486
2016,Total,Limited,3.323404
2017,Total,Limited,3.369902
2018,Total,Limited,3.410208
2019,Total,Limited,3.458151
2020,Total,Limited,3.505318
2021,Total,Limited,3.504996
2022,Total,Limited,3.490631
2023,Total,Limited,3.475669
2024,Total,Limited,3.520139
2000,Total,Unimproved,11.76287
2001,Total,Unimproved,11.46743
2002,Total,Unimproved,10.9521
2003,Total,Unimproved,10.5378
2004,Total,Unimproved,10.12758
2005,Total,Unimproved,9.777397
2006,Total,Unimproved,9.388122
2007,Total,Unimproved,9.021578
2008,Total,Unimproved,8.655917
2009,Total,Unimproved,8.300689
2010,Total,Unimproved,7.949758
2011,Total,Unimproved,7.617674
2012,Total,Unimproved,7.282163
2013,Total,Unimproved,6.955943
2014,Total,Unimproved,6.630819
2015,Total,Unimproved,6.323149
2016,Total,Unimproved,6.007756
2017,Total,Unimproved,5.666802
2018,Total,Unimproved,5.34899
2019,Total,Unimproved,5.052951
2020,Total,Unimproved,4.760447
2021,Total,Unimproved,4.456495
2022,Total,Unimproved,4.170716
2023,Total,Unimproved,3.908312
2024,Total,Unimproved,3.702632
2000,Total,Surface,4.011142
2001,Total,Surface,3.939912
2002,Total,Surface,3.835644
2003,Total,Surface,3.742459
2004,Total,Surface,3.646109
2005,Total,Surface,3.512779
2006,Total,Surface,3.399703
2007,Total,Surface,3.269608
2008,Total,Surface,3.134557
2009,Total,Surface,3.005127
2010,Total,Surface,2.876123
2011,Total,Surface,2.774263
2012,Total,Surface,2.647101
2013,Total,Surface,2.515995
2014,Total,Surface,2.387071
2015,Total,Surface,2.243423
2016,Total,Surface,2.114553
2017,Total,Surface,2.029945
2018,Total,Surface,1.915025
2019,Total,Surface,1.782919
2020,Total,Surface,1.658313
2021,Total,Surface,1.555264
2022,Total,Surface,1.460405
2023,Total,Surface,1.377108
2024,Total,Surface,1.302567
2000,Urban,Safely managed,83.43839
2001,Urban,Safely managed,83.34951
2002,Urban,Safely managed,83.25644
2003,Urban,Safely managed,83.16772
2004,Urban,Safely managed,83.0866
2005,Urban,Safely managed,83.04654
2006,Urban,Safely managed,82.97613
2007,Urban,Safely managed,82.91183
2008,Urban,Safely managed,82.83301
2009,Urban,Safely managed,82.75094
2010,Urban,Safely managed,82.67028
2011,Urban,Safely managed,82.675
2012,Urban,Safely managed,82.71246
2013,Urban,Safely managed,82.78972
2014,Urban,Safely managed,82.87407
2015,Urban,Safely managed,82.96012
2016,Urban,Safely managed,83.05462
2017,Urban,Safely managed,83.13922
2018,Urban,Safely managed,83.22379
2019,Urban,Safely managed,83.29917
2020,Urban,Safely managed,83.35742
2021,Urban,Safely managed,83.40465
2022,Urban,Safely managed,83.43924
2023,Urban,Safely managed,83.45783
2024,Urban,Safely managed,83.40723
2000,Urban,Basic,11.85535
2001,Urban,Basic,11.97577
2002,Urban,Basic,12.1141
2003,Urban,Basic,12.2543
2004,Urban,Basic,12.38161
2005,Urban,Basic,12.45016
2006,Urban,Basic,12.56923
2007,Urban,Basic,12.68607
