year,series,value
2000,accessibility,1.28
2000,quality,14.66
2000,availability,21.71
2001,accessibility,1.32
2001,quality,15.3
2001,availability,22.79
2002,accessibility,1.36
2002,quality,15.94
2002,availability,23.87
2003,accessibility,1.41
2003,quality,16.63
2003,availability,25.03
2004,accessibility,2.14
2004,quality,17.33
2004,availability,26.21
2005,accessibility,2.93
2005,quality,18.04
2005,availability,27.4
2006,accessibility,4.03
2006,quality,18.74
2006,availability,28.6
2007,accessibility,5.61
2007,quality,19.44
2007,availability,29.81
2008,accessibility,7.3
2008,quality,20.15
2008,availability,31.03
2009,accessibility,9.09
2009,quality,20.85
2009,availability,32.25
2010,accessibility,10.99
2010,quality,21.55
2010,availability,33.49
2011,accessibility,12.99
2011,quality,22.26
2011,availability,34.73
2012,accessibility,15.11
2012,quality,22.96
2012,availability,35.98
2013,accessibility,17.33
2013,quality,23.67
2013,availability,37.24
2014,accessibility,19.66
2014,quality,24.37
2014,availability,38.5
2015,accessibility,22.1
2015,quality,25.08
2015,availability,39.77
2016,accessibility,24.64
2016,quality,25.78
2016,availability,41.04
2017,accessibility,27.29
2017,quality,26.48
2017,availability,42.31
2018,accessibility,30.05
2018,quality,27.18
2018,availability,43.59
2019,accessibility,32.91
2019,quality,27.87
2019,availability,44.87
2020,accessibility,35.87
2020,quality,28.57
2020,availability,46.15
2021,accessibility,38.94
2021,quality,29.26
2021,availability,47.44
2022,accessibility,42.11
2022,quality,29.95
2022,availability,48.72
2023,accessibility,45.39
2023,quality,30.64
2023,availability,50.01
2024,accessibility,48.77
2024,quality,31.33
2024,availability,51.3
