iso3c,year,pop_without_electricity
NGA,2000,69804534
NGA,2001,70756896
NGA,2002,71743798
NGA,2003,63631265
NGA,2004,73734329
NGA,2005,74708449
NGA,2006,75654698
NGA,2007,73952868
NGA,2008,75734105
NGA,2009,78346546
NGA,2010,83695484
NGA,2011,72969512
NGA,2012,79906155
NGA,2013,77578399
NGA,2014,82238728
NGA,2015,87397998
NGA,2016,76787441
NGA,2017,88234134
NGA,2018,86298616
NGA,2019,90673803
NGA,2020,92914023
NGA,2021,86427536
NGA,2022,86250358
NGA,2023,86860905
COD,2000,45359024
COD,2001,46543398
COD,2002,47670615
COD,2003,48768669
COD,2004,49905251
COD,2005,53157232
COD,2006,52403651
COD,2007,51125430
COD,2008,55029267
COD,2009,56364334
COD,2010,57752148
COD,2011,59228366
COD,2012,60064198
COD,2013,62319445
COD,2014,65770784
COD,2015,65612082
COD,2016,67353758
COD,2017,69123387
COD,2018,70816076
COD,2019,72734674
COD,2020,74214024
COD,2021,75978649
COD,2022,77736818
COD,2023,79633583
ETH,2000,58518820
ETH,2001,61965459
ETH,2002,62632448
ETH,2003,63268249
ETH,2004,63861580
ETH,2005,66624148
ETH,2006,64902979
ETH,2007,65375735
ETH,2008,65798505
ETH,2009,66156609
ETH,2010,66484937
ETH,2011,70699805
ETH,2012,67044775
ETH,2013,67206310
ETH,2014,72615646
ETH,2015,72755045
ETH,2016,60122433
ETH,2017,60266258
ETH,2018,61294191
ETH,2019,59288366
ETH,2020,57254093
ETH,2021,55103560
ETH,2022,55044399
ETH,2023,56400131
TZA,2000,31482215
TZA,2001,31985237
TZA,2002,32461292
TZA,2003,33189853
TZA,2004,33987739
TZA,2005,33998470
TZA,2006,34536538
TZA,2007,35068956
TZA,2008,37940732
TZA,2009,39034645
TZA,2010,38434169
TZA,2011,39824955
TZA,2012,40474858
TZA,2013,41176046
TZA,2014,38873132
TZA,2015,38765455
TZA,2016,36558011
TZA,2017,38206990
TZA,2018,37799677
TZA,2019,37300617
TZA,2020,37084415
TZA,2021,36408542
TZA,2022,35499779
TZA,2023,34862880
UGA,2000,22243432
UGA,2001,22633679
UGA,2002,23552573
UGA,2003,23579903
UGA,2004,24004285
UGA,2005,25459342
UGA,2006,26183637
UGA,2007,25243078
UGA,2008,25652754
UGA,2009,28271268
UGA,2010,28428379
UGA,2011,28434560
UGA,2012,27256179
UGA,2013,30370544
UGA,2014,28923885
UGA,2015,30544045
UGA,2016,28402503
UGA,2017,27131788
UGA,2018,24112141
UGA,2019,25211110
UGA,2020,25692740
UGA,2021,25118540
UGA,2022,24989800
UGA,2023,23546203
NER,2000,10869344
NER,2001,11026645
NER,2002,11358604
NER,2003,11704234
NER,2004,12064734
NER,2005,12871500
NER,2006,13029207
NER,2007,13223640
NER,2008,13635418
NER,2009,14061376
NER,2010,14379820
NER,2011,14811627
NER,2012,15368972
NER,2013,15826870
NER,2014,16324337
NER,2015,16786855
NER,2016,17370491
NER,2017,17917169
NER,2018,18603496
NER,2019,19116344
NER,2020,19777917
NER,2021,20555716
NER,2022,21087741
NER,2023,21735388
MOZ,2000,16684364
MOZ,2001,17182135
MOZ,2002,17124977
MOZ,2003,17632627
MOZ,2004,17589469
MOZ,2005,17816436
MOZ,2006,18034523
MOZ,2007,18641729
MOZ,2008,18880860
MOZ,2009,19071161
MOZ,2010,18713296
MOZ,2011,18960816
MOZ,2012,19292887
MOZ,2013,19592260
MOZ,2014,19581105
MOZ,2015,20400867
MOZ,2016,20434862
MOZ,2017,21627067
MOZ,2018,20273052
MOZ,2019,21294879
MOZ,2020,21633837
MOZ,2021,21974706
MOZ,2022,22018650
MOZ,2023,21691568
MDG,2000,14178382
MDG,2001,14236635
MDG,2002,14810650
MDG,2003,14126275
MDG,2004,15453190
MDG,2005,15779327
MDG,2006,16108049
MDG,2007,16438188
MDG,2008,16767674
MDG,2009,17442718
MDG,2010,19058133
MDG,2011,19152371
MDG,2012,18671553
MDG,2013,20545212
MDG,2014,18652282
MDG,2015,18947573
MDG,2016,19661997
MDG,2017,19862682
MDG,2018,17047554
MDG,2019,18986849
MDG,2020,19193120
MDG,2021,18760206
