iso3c,date,gdp_growth
WLD,1961,2.56
WLD,1962,3.48
WLD,1963,2.81
WLD,1964,4.39
WLD,1965,3.43
WLD,1966,3.23
WLD,1967,1.63
WLD,1968,3.79
WLD,1969,3.79
WLD,1970,1.64
WLD,1971,2
WLD,1972,3.46
WLD,1973,4.35
WLD,1974,0.02
WLD,1975,-1.22
WLD,1976,3.31
WLD,1977,2.2
WLD,1978,2.3
WLD,1979,2.29
WLD,1980,0.08
WLD,1981,0.12
WLD,1982,-1.43
WLD,1983,0.74
WLD,1984,2.87
WLD,1985,1.86
WLD,1986,1.47
WLD,1987,1.87
WLD,1988,2.68
WLD,1989,1.87
WLD,1990,0.96
WLD,1991,-0.44
WLD,1992,0.43
WLD,1993,0.29
WLD,1994,1.82
WLD,1995,1.62
WLD,1996,2.06
WLD,1997,2.45
WLD,1998,1.36
WLD,1999,2.14
WLD,2000,3.14
WLD,2001,0.68
WLD,2002,0.98
WLD,2003,1.77
WLD,2004,3.17
WLD,2005,2.74
WLD,2006,3.16
WLD,2007,3.11
WLD,2008,0.81
WLD,2009,-2.55
WLD,2010,3.26
WLD,2011,2.09
WLD,2012,1.45
WLD,2013,1.63
WLD,2014,1.9
WLD,2015,1.9
WLD,2016,1.6
WLD,2017,2.29
WLD,2018,2.16
WLD,2019,1.61
WLD,2020,-3.85
WLD,2021,5.53
WLD,2022,2.51
WLD,2023,2
WLD,2024,1.89
AFG,2023,0.11
AFG,2022,-7.58
AFG,2021,-22.58
AFG,2020,-5.38
AFG,2019,0.86
AFG,2018,-1.71
AFG,2017,-0.2
AFG,2016,-0.3
AFG,2015,-1.67
AFG,2014,-0.94
AFG,2013,2.05
AFG,2012,8.28
AFG,2011,-3.21
AFG,2010,11.06
AFG,2009,17.04
AFG,2008,1.68
AFG,2007,11.69
AFG,2006,1.13
AFG,2005,7.38
AFG,2004,-2.15
AFG,2003,2.35
AFG,2002,22.02
AFG,2001,-10.12
ALB,2024,5.66
ALB,2023,5.63
ALB,2022,6.46
ALB,2021,10.66
ALB,2020,-1.81
ALB,2019,3.65
ALB,2018,5.28
ALB,2017,4.89
ALB,2016,5.52
ALB,2015,3.82
ALB,2014,3.83
ALB,2013,3.29
ALB,2012,2.55
ALB,2011,2.74
ALB,2010,3.49
ALB,2009,3.39
ALB,2008,7.73
ALB,2007,7.31
ALB,2006,6.69
ALB,2005,5.67
ALB,2004,5.71
ALB,2003,5.73
ALB,2002,4.94
ALB,2001,9.89
ALB,2000,8.15
ALB,1999,12.96
ALB,1998,8.99
ALB,1997,-11.16
ALB,1996,8.01
ALB,1995,14.02
ALB,1994,8.97
ALB,1993,10.23
ALB,1992,-6.62
ALB,1991,-27.57
ALB,1990,-11.19
ALB,1989,6.92
ALB,1988,-3.26
ALB,1987,-2.75
ALB,1986,3.61
ALB,1985,-0.29
ALB,1984,-3.31
ALB,1983,-1.02
ALB,1982,0.8
ALB,1981,3.65
DZA,2024,2.26
DZA,2023,2.55
DZA,2022,1.97
DZA,2021,2.13
DZA,2020,-6.61
DZA,2019,-0.94
DZA,2018,-0.55
DZA,2017,-0.54
DZA,2016,1.79
DZA,2015,1.1
DZA,2014,2
DZA,2013,0.55
DZA,2012,0.38
DZA,2011,1
