iso3c,date,gdp_growth
HIC,1990,1.57
HIC,1991,-0.96
HIC,1992,1.64
HIC,1993,0.83
HIC,1994,2.68
HIC,1995,2.32
HIC,1996,1.55
HIC,1997,3.55
HIC,1998,1.91
HIC,1999,2.55
HIC,2000,4.1
HIC,2001,1.09
HIC,2002,0.78
HIC,2003,1.58
HIC,2004,3.37
HIC,2005,2.05
HIC,2006,2.85
HIC,2007,1.78
HIC,2008,-0.95
HIC,2009,-4.8
HIC,2010,1.48
HIC,2011,1.27
HIC,2012,-0.78
HIC,2013,-0.02
HIC,2014,0.78
HIC,2015,1.34
HIC,2016,1.23
HIC,2017,1.53
HIC,2018,1.33
HIC,2019,0.97
HIC,2020,-5.61
HIC,2021,6.49
HIC,2022,2.91
HIC,2023,0.14
HIC,2024,0.3
LIC,1990,-0.5
LIC,1991,0.24
LIC,1992,-0.28
LIC,1993,-0.1
LIC,1994,-1.66
LIC,1995,3.78
LIC,1996,3.79
LIC,1997,6.49
LIC,1998,1.46
LIC,1999,2.73
LIC,2000,1.7
LIC,2001,2.65
LIC,2002,2.98
LIC,2003,2.71
LIC,2004,4.14
LIC,2005,3.51
LIC,2006,4.25
LIC,2007,4.02
LIC,2008,3.52
LIC,2009,2.01
LIC,2010,3.73
LIC,2011,3.32
LIC,2012,3.12
LIC,2013,2.24
LIC,2014,2.29
LIC,2015,1.74
LIC,2016,1.94
LIC,2017,2.3
LIC,2018,2.23
LIC,2019,1.96
LIC,2020,-2.74
LIC,2021,2.35
LIC,2022,3.47
LIC,2023,1.82
LIC,2024,2.69
LMC,1990,1.1
LMC,1991,0.55
LMC,1992,1.83
LMC,1993,0.9
LMC,1994,2.12
LMC,1995,3.08
LMC,1996,3.11
LMC,1997,1.36
LMC,1998,1.69
LMC,1999,0.92
LMC,2000,2.1
LMC,2001,0.57
LMC,2002,1.64
LMC,2003,2.46
LMC,2004,3.66
LMC,2005,3.32
LMC,2006,3.92
LMC,2007,3.69
LMC,2008,2.5
LMC,2009,-0.72
LMC,2010,3.29
LMC,2011,2.46
LMC,2012,1.8
LMC,2013,1.77
LMC,2014,2.17
LMC,2015,1.33
LMC,2016,1.7
LMC,2017,1.89
LMC,2018,1.54
LMC,2019,0.92
LMC,2020,-7.69
LMC,2021,4.77
LMC,2022,4.04
LMC,2023,2.19
LMC,2024,2.44
UMC,1990,3.24
UMC,1991,-0.38
UMC,1992,2.34
UMC,1993,1.8
UMC,1994,1.62
UMC,1995,1.03
UMC,1996,2.59
UMC,1997,4.38
UMC,1998,2.32
UMC,1999,1.32
UMC,2000,4.05
UMC,2001,0.52
UMC,2002,-0.17
UMC,2003,0.38
UMC,2004,6.1
UMC,2005,3.5
UMC,2006,3.51
UMC,2007,3.49
UMC,2008,1.55
UMC,2009,-2.68
UMC,2010,2.51
UMC,2011,0.21
UMC,2012,4.75
UMC,2013,0.56
UMC,2014,0.17
UMC,2015,-0.32
UMC,2016,0.94
UMC,2017,2.28
UMC,2018,2.18
UMC,2019,0.66
UMC,2020,-10.5
UMC,2021,4.78
UMC,2022,2.56
UMC,2023,4.45
UMC,2024,1.35
