id,year,value
4087,2000,60615
4847,2000,59869
4555,2000,114177
4917,2000,55024
2644,2000,67653
4592,2000,184827
2964,2000,69804
742,2000,417505
3913,2000,77922
5176,2000,191762
3775,2000,247227
3958,2000,231849
4703,2000,2714906
2777,2000,87699
2201,2000,65025
3083,2000,331846
3868,2000,87787
4129,2000,100275
3822,2000,64343
20819,2000,70085
2575,2000,79916
2353,2000,103340
984,2000,64019
4331,2000,115476
608,2000,60949
4171,2000,82765
258,2000,98413
827,2000,90662
557,2000,64891
20799,2000,53313
93,2000,88343
695,2000,411536
414,2000,71735
5650,2000,93782
5417,2000,55016
3603,2000,68403
668,2000,57516
5699,2000,407920
1368,2000,53390
4759,2000,78999
5163,2000,256047
51,2000,118439
4538,2000,145551
3550,2000,52102
4936,2000,176792
3338,2000,312621
4501,2000,135160
4351,2000,92264
4275,2000,64676
3892,2000,183270
5723,2000,51635
2392,2000,57791
2467,2000,138519
5363,2000,476648
3937,2000,154793
2161,2000,63517
3444,2000,2182835
4866,2000,113639
5471,2000,62001
5550,2000,136975
4194,2000,93283
5625,2000,106411
3705,2000,52236
4901,2000,113383
2935,2000,70214
5600,2000,87161
3171,2000,141996
3283,2000,55194
3497,2000,95545
4427,2000,109838
222,2000,76274
1923,2000,85174
3228,2000,128835
4024,2000,64590
5308,2000,52273
1839,2000,58152
1750,2000,141048
922,2000,834906
4831,2000,134621
2084,2000,101599
2004,2000,120544
4723,2000,222456
4235,2000,52334
1038,2000,184423
1660,2000,54396
5498,2000,171356
2612,2000,54674
5770,2000,119008
5070,2000,65402
5792,2000,162761
2540,2000,157038
2746,2000,53763
4313,2000,95460
527,2000,183068
5252,2000,110207
3661,2000,183794
3504,2000,126980
1055,2000,409693
20806,2000,60961
546,2000,114431
3852,2000,70207
20816,2000,58628
3759,2000,114645
20825,2000,53507
1764,2000,103029
3398,2000,126657
2094,2000,132118
3711,2000,330597
20456,2000,83489
4073,2000,96897
2326,2000,82445
2477,2000,104130
3451,2000,690374
1484,2000,382641
939,2000,714643
1169,2000,244951
3898,2000,61132
3610,2000,317681
3235,2000,146607
2819,2000,59404
3806,2000,320414
243,2000,122577
20975,2000,53040
2943,2000,248572
3290,2000,213335
3345,2000,58296
1853,2000,143661
20826,2000,73950
20822,2000,67001
3943,2000,297699
2173,2000,60286
20809,2000,83990
1936,2000,101999
3179,2000,964837
3121,2000,72416
4061,2000,214155
4459,2000,11711634
4346,2000,56635
2531,2000,59069
3840,2000,85269
4187,2000,115992
2381,2000,1275677
3436,2000,305509
3697,2000,150290
2602,2000,59694
3646,2000,67119
4308,2000,57009
3746,2000,73104
4681,2000,584744
783,2000,117174
4422,2000,58214
4896,2000,514892
198,2000,775549
4861,2000,66164
2456,2000,160749
4789,2000,58535
4269,2000,66884
3383,2000,196732
3793,2000,76175
4570,2000,236805
2802,2000,72501
3046,2000,67181
3275,2000,87193
3330,2000,340947
3595,2000,980625
2670,2000,113852
4644,2000,74757
507,2000,390105
1911,2000,73477
1648,2000,141058
2866,2000,50897
25,2000,378810
2072,2000,133567
905,2000,58577
1458,2000,742980
3886,2000,111923
1137,2000,52675
1827,2000,86537
1249,2000,65077
359,2000,195360
3163,2000,323916
2927,2000,81100
1993,2000,294969
3219,2000,54767
4717,2000,83123
3975,2000,76503
3105,2000,57605
2737,2000,67799
2305,2000,73850
4229,2000,67510
129,2000,142012
296,2000,77646
451,2000,1153392
1003,2000,707798
2591,2000,570066
2060,2000,72402
1981,2000,90640
2520,2000,106604
886,2000,54549
761,2000,58690
1440,2000,63334
1634,2000,2342596
2217,2000,141400
330,2000,642547
1336,2000,56283
2139,2000,2858429
938,2000,205362
236,2000,110003
815,2000,63841
683,2000,201962
397,2000,122447
1054,2000,1543803
2348,2000,1618702
453,2000,343303
1413,2000,50822
2195,2000,79626
732,2000,119726
132,2000,99931
597,2000,68833
2116,2000,297051
1958,2000,67218
17,2000,188854
140,2000,557983
6569,2000,75249
7130,2000,85954
4296,2000,85922
6871,2000,80853
6339,2000,212486
3259,2000,55563
6616,2000,72118
3088,2000,68697
6961,2000,120117
7501,2000,56580
6826,2000,140311
6811,2000,586073
7477,2000,81371
7403,2000,81393
5323,2000,285676
5431,2000,447472
4850,2000,70742
5512,2000,88238
6231,2000,80233
6661,2000,73143
4132,2000,82847
7033,2000,284756
2581,2000,63362
1107,2000,67929
2360,2000,50669
4090,2000,554401
6721,2000,1500922
7489,2000,54740
7601,2000,474805
6886,2000,413214
1219,2000,442080
20993,2000,57404
7299,2000,62520
7537,2000,3779341
6781,2000,120724
7047,2000,119206
21018,2000,56187
4174,2000,160503
7651,2000,243633
20871,2000,57416
6249,2000,17434596
5612,2000,62286
1430,2000,337842
6916,2000,51412
1325,2000,55929
20547,2000,69954
5734,2000,231748
21012,2000,55736
5022,2000,57789
6063,2000,322968
7441,2000,323799
6321,2000,116602
4047,2000,250666
2284,2000,138236
5710,2000,108285
3916,2000,101164
2050,2000,56720
1531,2000,55126
6267,2000,204348
6195,2000,58513
