2015,iso3c,"Fossil fuel subsidy in 2022, % of GDP",countryname,region,incomelevel
0,AFG,2.2,Afghanistan,South Asia,LIC
0.3,AGO,6.1,Angola,Sub-Saharan Africa,LMIC
1,ALB,0.5,Albania,Europe & Central Asia,UMIC
0.1,ARE,0,United Arab Emirates,Middle East & North Africa,HIC
4.2,ARG,2,Argentina,Latin America & Caribbean,HIC
0,ARM,0.1,Armenia,Europe & Central Asia,UMIC
0,AUS,0.3,Australia,East Asia & Pacific,HIC
0,AUT,0.3,Austria,Europe & Central Asia,HIC
2.8,AZE,4.1,Azerbaijan,Europe & Central Asia,UMIC
6.4,BDI,1.5,Burundi,Sub-Saharan Africa,LIC
0,BEL,0.7,Belgium,Europe & Central Asia,HIC
0.4,BEN,0.9,Benin,Sub-Saharan Africa,LIC
0.6,BFA,1.7,Burkina Faso,Sub-Saharan Africa,LIC
2,BGD,3.5,Bangladesh,South Asia,LMIC
2.3,BGR,1.6,Bulgaria,Europe & Central Asia,UMIC
8.9,BHR,19.7,Bahrain,Middle East & North Africa,HIC
0.7,BHS,2.4,"Bahamas, The",Latin America & Caribbean,HIC
0,BIH,1.3,Bosnia and Herzegovina,Europe & Central Asia,UMIC
1.9,BLR,2.7,Belarus,Europe & Central Asia,UMIC
0,BLZ,0,Belize,Latin America & Caribbean,UMIC
0.8,BOL,4.8,Bolivia,Latin America & Caribbean,LMIC
0,BRA,0,Brazil,Latin America & Caribbean,UMIC
0.1,BRB,0.5,Barbados,Latin America & Caribbean,HIC
2.9,BRN,5.9,Brunei Darussalam,East Asia & Pacific,HIC
2.4,BTN,0.5,Bhutan,South Asia,LMIC
0,BWA,0,Botswana,Sub-Saharan Africa,UMIC
0.3,CAF,0.5,Central African Republic,Sub-Saharan Africa,LIC
0.2,CAN,0,Canada,North America,HIC
0,CHE,0,Switzerland,Europe & Central Asia,HIC
0.5,CHL,0.6,Chile,Latin America & Caribbean,HIC
0.1,CHN,1.5,China,East Asia & Pacific,UMIC
0.3,CIV,0.2,Côte d'Ivoire,Sub-Saharan Africa,LMIC
0.2,CMR,0.6,Cameroon,Sub-Saharan Africa,LMIC
0,COD,0,"Congo, Democratic Republic of the",Sub-Saharan Africa,LIC
1.8,COG,0.8,"Congo, Republic of",Sub-Saharan Africa,LMIC
0.1,COL,1.1,Colombia,Latin America & Caribbean,UMIC
0,COM,0.6,Comoros,Sub-Saharan Africa,LIC
0,CPV,1,Cabo Verde,Sub-Saharan Africa,LMIC
0.1,CRI,0.1,Costa Rica,Latin America & Caribbean,UMIC
1.2,CYP,1,Cyprus,Europe & Central Asia,HIC
0,CZE,0.8,Czechia,Europe & Central Asia,HIC
0,DEU,1,Germany,Europe & Central Asia,HIC
2.1,DJI,2.1,Djibouti,Middle East & North Africa,LMIC
0.4,DNK,0.5,Denmark,Europe & Central Asia,HIC
0.2,DOM,1.3,Dominican Republic,Latin America & Caribbean,UMIC
