Country,countrycode,Region,Year,Population (millions),Fossil fuel subsidy (% of GDP),Fossil fuel subsidy ($ per capita),GDP per capita (2021 USD),Income group
Afghanistan,AFG,South Asia,2022,40.6,11.4,5.6,494,Low-income country
Angola,AGO,Sub-Saharan Africa,2022,35.1,10.9,32.9,3011,Lower-middle-income country
Albania,ALB,Europe & Central Asia,2022,2.8,6,38.2,6350,Upper-middle-income country
United Arab Emirates,ARE,Middle East & North Africa,2022,9.4,4.8,246.6,51721,High-income country
Argentina,ARG,Latin America & Caribbean,2022,45.4,8.9,111.3,12566,High-income country
Armenia,ARM,Europe & Central Asia,2022,2.8,7.1,38.3,5411,Upper-middle-income country
Australia,AUS,East Asia & Pacific,2022,26,2.9,182.1,63400,High-income country
Austria,AUT,Europe & Central Asia,2022,8.9,1.5,82.5,56718,High-income country
Azerbaijan,AZE,Europe & Central Asia,2022,10.3,18.2,95.9,5261,Upper-middle-income country
Burundi,BDI,Sub-Saharan Africa,2022,12.7,2.7,0.8,279,Low-income country
Belgium,BEL,Europe & Central Asia,2022,11.6,2.3,118.2,52500,High-income country
Benin,BEN,Sub-Saharan Africa,2022,13.2,7,10.1,1460,Low-income country
Burkina Faso,BFA,Sub-Saharan Africa,2022,22.4,4.4,4,919,Low-income country
Bangladesh,BGD,South Asia,2022,170.3,6.7,17.4,2592,Lower-middle-income country
Bulgaria,BGR,Europe & Central Asia,2022,6.8,9.5,107.1,11234,Upper-middle-income country
Bahrain,BHR,Middle East & North Africa,2022,1.5,31.3,889,28396,High-income country
"Bahamas, The",BHS,Latin America & Caribbean,2022,0.4,6.1,195.6,31902,High-income country
Bosnia and Herzegovina,BIH,Europe & Central Asia,2022,3.2,11.7,86,7323,Upper-middle-income country
Belarus,BLR,Europe & Central Asia,2022,9.6,21.7,140.4,6462,Upper-middle-income country
Belize,BLZ,Latin America & Caribbean,2022,0.4,0.6,3.6,6576,Upper-middle-income country
Bolivia,BOL,Latin America & Caribbean,2022,12.1,16.4,60.4,3682,Lower-middle-income country
Brazil,BRA,Latin America & Caribbean,2022,214.8,3.2,32.1,10017,Upper-middle-income country
Barbados,BRB,Latin America & Caribbean,2022,0.3,1.7,32,18406,High-income country
Brunei Darussalam,BRN,East Asia & Pacific,2022,0.4,14.7,500.1,34085,High-income country
Bhutan,BTN,South Asia,2022,0.8,12.4,44,3537,Lower-middle-income country
Botswana,BWA,Sub-Saharan Africa,2022,2.6,5,38,7638,Upper-middle-income country
Central African Republic,CAF,Sub-Saharan Africa,2022,5.5,1.7,0.8,474,Low-income country
Canada,CAN,North America,2022,38.3,2,100,50404,High-income country
Switzerland,CHE,Europe & Central Asia,2022,8.7,0.6,52.8,93906,High-income country
Chile,CHL,Latin America & Caribbean,2022,19.6,6.7,117.7,17454,High-income country
China,CHN,East Asia & Pacific,2022,1425.9,12.5,156.8,12585,Upper-middle-income country
Côte d'Ivoire,CIV,Sub-Saharan Africa,2022,27.8,3.5,9.5,2736,Lower-middle-income country
Cameroon,CMR,Sub-Saharan Africa,2022,27.6,4.3,7.5,1743,Lower-middle-income country
"Congo, Democratic Republic of the",COD,Sub-Saharan Africa,2022,97.4,0.8,0.5,621,Low-income country
"Congo, Republic of",COG,Sub-Saharan Africa,2022,5.9,4.6,10.8,2354,Lower-middle-income country
Colombia,COL,Latin America & Caribbean,2022,51.8,8.4,66.1,7904,Upper-middle-income country
Comoros,COM,Sub-Saharan Africa,2022,0.8,1.4,2.3,1630,Low-income country
Cabo Verde,CPV,Sub-Saharan Africa,2022,0.6,3,11.6,3920,Lower-middle-income country
Costa Rica,CRI,Latin America & Caribbean,2022,5.2,3,43.5,14250,Upper-middle-income country
Cyprus,CYP,Europe & Central Asia,2022,1.2,3.9,92.6,24018,High-income country
Czechia,CZE,Europe & Central Asia,2022,10.5,4.4,115.4,26120,High-income country
Germany,DEU,Europe & Central Asia,2022,83.4,3,154.8,51866,High-income country
Djibouti,DJI,Middle East & North Africa,2022,1.1,2.5,8.1,3256,Lower-middle-income country
Denmark,DNK,Europe & Central Asia,2022,5.9,1.2,82.9,69824,High-income country
Dominican Republic,DOM,Latin America & Caribbean,2022,11.2,10,95.5,9519,Upper-middle-income country
Algeria,DZA,Middle East & North Africa,2022,44.5,38.5,169,4386,Upper-middle-income country
Ecuador,ECU,Latin America & Caribbean,2022,17.9,10.6,67.4,6373,Upper-middle-income country
Egypt,EGY,Middle East & North Africa,2022,110.1,23.8,73.4,3082,Lower-middle-income country
Spain,ESP,Europe & Central Asia,2022,47.6,1.7,54.6,32012,High-income country
Estonia,EST,Europe & Central Asia,2022,1.3,3.4,93.4,27861,High-income country
Ethiopia,ETH,Sub-Saharan Africa,2022,121.8,7.4,6.7,901,Low-income country
Finland,FIN,Europe & Central Asia,2022,5.5,0.5,29.5,55657,High-income country
Fiji,FJI,East Asia & Pacific,2022,0.9,6.5,36.9,5699,Upper-middle-income country
France,FRA,Europe & Central Asia,2022,64.6,2.1,99.2,47660,High-income country
Gabon,GAB,Sub-Saharan Africa,2022,2.4,2.1,17.1,8140,Upper-middle-income country
United Kingdom,GBR,Europe & Central Asia,2022,67.4,2.3,109.8,47483,High-income country
Georgia,GEO,Europe & Central Asia,2022,3.8,25.8,152.6,5923,Lower-middle-income country
Ghana,GHA,Sub-Saharan Africa,2022,33.2,4.2,10.8,2543,Lower-middle-income country
Guinea,GIN,Sub-Saharan Africa,2022,13.7,3.2,3.5,1117,Low-income country
"Gambia, The",GMB,Sub-Saharan Africa,2022,2.7,4.6,3.6,781,Low-income country
Guinea-Bissau,GNB,Sub-Saharan Africa,2022,2.1,2.1,1.9,926,Low-income country
Equatorial Guinea,GNQ,Sub-Saharan Africa,2022,1.7,4.5,35.2,7874,Upper-middle-income country
Greece,GRC,Europe & Central Asia,2022,10.4,4.1,94.2,23081,High-income country
Guatemala,GTM,Latin America & Caribbean,2022,17.7,4.1,20.5,5065,Upper-middle-income country
Guyana,GUY,Latin America & Caribbean,2022,0.8,8,149.4,18789,Upper-middle-income country
Honduras,HND,Latin America & Caribbean,2022,10.4,3,8.2,2712,Lower-middle-income country
Croatia,HRV,Europe & Central Asia,2022,4,3.6,66.2,18349,High-income country
