countryname,countrycode,region,incomelevel,year,Supply price,Retail price,Efficient price,Local air pollution,Accident damage,Congestion,Road damage,Global warming cost,VAT on social costs,External cost,type,incgroup,,filter_type
Afghanistan,AFG,South Asia,LIC,2022,0.99,0.53,1.44,0.11,0.09,0.03,0.02,0.19,0.01,0.45,Diesel ($/liter),Low-income countries,,Low-income countries & Diesel ($/liter)
Afghanistan,AFG,South Asia,LIC,2022,8.52,9.37,19.32,2.48,,,,6.57,1.76,10.8,Coal ($/GJ),Low-income countries,,Low-income countries & Coal ($/GJ)
Afghanistan,AFG,South Asia,LIC,2022,0.9,0.93,1.34,0.03,0.09,0.03,0,0.17,0.12,0.44,Gasoline ($/liter),Low-income countries,,Low-income countries & Gasoline ($/liter)
Afghanistan,AFG,South Asia,LIC,2022,16.49,17.16,21.19,0.02,,,,3.89,0.79,4.7,Natural gas ($/GJ),Low-income countries,,Low-income countries & Natural gas ($/GJ)
Angola,AGO,Sub-Saharan Africa,LMIC,2022,0.8,0.28,1.52,0.03,0.32,0.04,0,0.16,0.17,0.72,Gasoline ($/liter),Lower-middle-income countries,,Lower-middle-income countries & Gasoline ($/liter)
Angola,AGO,Sub-Saharan Africa,LMIC,2022,13.51,14.42,21.49,0.19,,,,6.7,1.09,7.97,Coal ($/GJ),Lower-middle-income countries,,Lower-middle-income countries & Coal ($/GJ)
Angola,AGO,Sub-Saharan Africa,LMIC,2022,13.5,13.5,17.39,0.01,,,,3.89,0,3.9,Natural gas ($/GJ),Lower-middle-income countries,,Lower-middle-income countries & Natural gas ($/GJ)
Angola,AGO,Sub-Saharan Africa,LMIC,2022,0.91,0.21,1.58,0.11,0.26,0.03,0.01,0.18,0.08,0.67,Diesel ($/liter),Lower-middle-income countries,,Lower-middle-income countries & Diesel ($/liter)
Albania,ALB,Europe & Central Asia,UMIC,2022,0.8,1.67,1.62,0.11,0.16,0.15,0,0.17,0.24,0.82,Gasoline ($/liter),Upper-middle-income countries,,Upper-middle-income countries & Gasoline ($/liter)
Albania,ALB,Europe & Central Asia,UMIC,2022,7.46,7.72,14.24,0.1,,,,6.68,0,6.78,Coal ($/GJ),Upper-middle-income countries,,Upper-middle-income countries & Coal ($/GJ)
Albania,ALB,Europe & Central Asia,UMIC,2022,0.91,1.21,2.19,0.67,0.2,0.18,0.01,0.19,0.04,1.28,Diesel ($/liter),Upper-middle-income countries,,Upper-middle-income countries & Diesel ($/liter)
Albania,ALB,Europe & Central Asia,UMIC,2022,14.65,14.65,19.72,1.19,,,,3.89,0,5.07,Natural gas ($/GJ),Upper-middle-income countries,,Upper-middle-income countries & Natural gas ($/GJ)
United Arab Emirates,ARE,Middle East & North Africa,HIC,2022,13.13,13.62,33.55,13.82,,,,6.6,0,20.42,Coal ($/GJ),High-income countries,,High-income countries & Coal ($/GJ)
United Arab Emirates,ARE,Middle East & North Africa,HIC,2022,0.88,0.92,2.61,0.33,0.11,0.82,0.27,0.19,0.01,1.73,Diesel ($/liter),High-income countries,,High-income countries & Diesel ($/liter)
United Arab Emirates,ARE,Middle East & North Africa,HIC,2022,0.78,0.89,1.85,0.07,0.09,0.65,0,0.17,0.09,1.07,Gasoline ($/liter),High-income countries,,High-income countries & Gasoline ($/liter)
