code,exp_,pop_risk,pop_vuln,totalpop,region_code,sha_exp,sha_vuln,sha_risk,sha_vuln_nonexp,sha_nonvuln_exp,sha_nonvuln_nonexp,poor300_ln,dep_educ_com,dep_infra_elec,dep_infra_impw,dep_sp,dep_fin,pop_notimputed
ARG,8.66,1.9,9.96,45.7,LCN,0.19,0.22,0.04,0.18,0.15,0.63,0.01,0.01,0,0,0.14,0.06,45.7
ARM,0.87,0.28,0.81,3.03,ECS,0.29,0.27,0.09,0.18,0.19,0.54,0.01,0,0,0,0.2,0.08,3.03
AUT,3.96,0.02,0.05,9.18,ECS,0.43,0.01,0,0,0.43,0.57,0.01,0,0,0,0,0,9.18
BEL,2.65,0.02,0.09,11.86,ECS,0.22,0.01,0,0.01,0.22,0.77,0,0.01,0,0,0,0,11.86
BEN,5.97,5.78,13.87,14.46,SSF,0.41,0.96,0.4,0.56,0.01,0.03,0.23,0.49,0.35,0.24,0.87,0.22,14.46
BFA,19.15,17.33,20.89,23.55,SSF,0.81,0.89,0.74,0.15,0.08,0.04,0.41,0.48,0.35,0.17,0.53,0.15,23.55
BGD,173.15,98.26,98.46,173.56,SAS,1,0.57,0.57,0,0.43,0,0.05,0.1,0,0,0.28,0.31,173.56
BGR,2.75,0.19,0.31,6.44,ECS,0.43,0.05,0.03,0.02,0.4,0.55,0.01,0,0,0,0,0.04,6.44
BIH,1.67,1.37,2.64,3.16,ECS,0.53,0.83,0.43,0.4,0.09,0.07,0,0.73,0,0,0.31,0.08,3.16
BOL,2.82,1.85,6.16,12.41,LCN,0.23,0.5,0.15,0.35,0.08,0.43,0.02,0.1,0,0.09,0.19,0.24,12.41
BRA,59.59,18.07,54.2,212,LCN,0.28,0.26,0.09,0.17,0.2,0.55,0.03,0.13,0,0,0.09,0.05,212
BTN,0.15,0.14,0.72,0.79,SAS,0.19,0.91,0.17,0.73,0.02,0.07,0,0.27,0,0,0.88,,0.79
CAN,7.08,0.43,2.4,41.29,NAC,0.17,0.06,0.01,0.05,0.16,0.78,0,0.06,0,0,0,0,41.29
CHE,2.6,0.01,0.07,9.01,ECS,0.29,0.01,0,0.01,0.29,0.71,0,0,0,0,0,0,9.01
CHL,3,0.3,1.43,19.76,LCN,0.15,0.07,0.02,0.06,0.14,0.79,0,0.03,0,0,0,0.05,19.76
CHN,1059.66,44.96,41.73,1408.98,EAS,0.75,0.03,0.03,0,0.72,0.25,0,0.02,0,0,0,0.01,1408.98
CIV,10.4,10.06,28.89,31.93,SSF,0.33,0.9,0.32,0.59,0.01,0.08,0.18,0.44,0.09,0.17,0.81,0.19,31.93
CMR,7.74,7.54,27.19,29.12,SSF,0.27,0.93,0.26,0.67,0.01,0.06,0.26,0.56,0.37,0.19,0.78,0.19,29.12
COL,17.15,10.47,28.24,52.89,LCN,0.32,0.53,0.2,0.34,0.13,0.34,0.08,0.05,0,0,0.33,0.26,52.89
COM,0.15,0.13,0.74,0.87,SSF,0.18,0.85,0.15,0.7,0.02,0.12,0.05,0.21,0.11,0.24,0.62,0.27,0.87
CRI,0.93,0.18,0.85,5.13,LCN,0.18,0.16,0.04,0.13,0.15,0.69,0.01,0.03,0,0,0,0.13,5.13
CYP,0.52,0.01,0.02,1.36,ECS,0.38,0.01,0.01,0.01,0.38,0.61,0,0.01,0,0,0,0,1.36
CZE,4.77,0.11,0.35,10.91,ECS,0.44,0.03,0.01,0.02,0.43,0.54,0,0,0,0,0,0.03,10.91
DEU,21.13,1.47,5.92,83.52,ECS,0.25,0.07,0.02,0.05,0.24,0.69,0.01,0.06,0,0,0,0,83.52
DNK,2.03,0.03,0.08,5.98,ECS,0.34,0.01,0.01,0.01,0.33,0.65,0,0.01,0,0,0,0.01,5.98
DOM,11.43,5.28,5.27,11.43,LCN,1,0.46,0.46,0,0.54,0,0.01,0.14,0,0,0.18,0.24,11.43
ECU,4.51,2.22,7.64,18.14,LCN,0.25,0.42,0.12,0.3,0.13,0.45,0.07,0.04,0,0.07,0.23,0.13,18.14
EGY,38.07,19.42,57.59,116.54,MEA,0.33,0.49,0.17,0.33,0.16,0.35,0.01,0.09,0,0,0.06,0.39,116.54
