code,exp_,pop_risk,pop_vuln,totalpop,region_code,sha_exp,sha_vuln,sha_risk,sha_vuln_nonexp,sha_nonvuln_exp,sha_nonvuln_nonexp
AGO,6.21,6.21,34.5,34.5,SSF,0.18,1,0.18,0.82,0,0
ARM,0.93,0.78,2.35,2.79,ECS,0.33,0.84,0.28,0.56,0.05,0.11
AUS,2.98,0.09,0.74,25.06,EAS,0.12,0.03,0,0.03,0.12,0.85
AUT,3.88,0.05,0.13,8.96,ECS,0.43,0.01,0.01,0.01,0.43,0.56
AZE,2.54,2.23,8.47,10.14,ECS,0.25,0.84,0.22,0.62,0.03,0.13
BDI,1.31,1.31,10.19,10.19,SSF,0.13,1,0.13,0.87,0,0
BEL,2.58,0.06,0.3,11.59,ECS,0.22,0.03,0,0.02,0.22,0.76
BEN,5.47,5.47,13,13,SSF,0.42,1,0.42,0.58,0,0
BFA,18.05,17.98,22.01,22.1,SSF,0.82,1,0.81,0.18,0,0
BGD,169.04,144.14,144.42,169.36,SAS,1,0.85,0.85,0,0.15,0
BGR,2.93,1.07,2.12,6.88,ECS,0.43,0.31,0.16,0.15,0.27,0.42
BIH,1.84,1.07,1.83,3.27,ECS,0.56,0.56,0.33,0.23,0.24,0.2
BLR,2.03,0.77,2.89,9.3,ECS,0.22,0.31,0.08,0.23,0.14,0.55
BOL,2.82,2.32,7.94,12.08,LCN,0.23,0.66,0.19,0.47,0.04,0.3
BRA,60.74,33.54,103.43,214.33,LCN,0.28,0.48,0.16,0.33,0.13,0.39
BTN,0.15,0.14,0.72,0.78,SAS,0.19,0.93,0.18,0.75,0.01,0.06
BWA,0.83,0.79,2.35,2.59,SSF,0.32,0.91,0.3,0.6,0.01,0.08
CAF,1.37,1.37,5.46,5.46,SSF,0.25,1,0.25,0.75,0,0
CAN,6.61,0.03,0.17,37.96,NAC,0.17,0,0,0,0.17,0.82
CHL,2.45,1.08,6.83,17.34,LCN,0.14,0.39,0.06,0.33,0.08,0.53
CHN,1046.81,473.67,630.1,1383.54,EAS,0.76,0.46,0.34,0.11,0.41,0.13
CMR,7.29,7.29,27.2,27.2,SSF,0.27,1,0.27,0.73,0,0
COG,0.92,0.92,5.84,5.84,SSF,0.16,1,0.16,0.84,0,0
COL,17.03,14.09,39.06,51.52,LCN,0.33,0.76,0.27,0.48,0.06,0.18
COM,0.13,0.13,0.82,0.82,SSF,0.16,1,0.16,0.84,0,0
CPV,0.14,0.11,0.43,0.59,SSF,0.24,0.73,0.19,0.54,0.05,0.22
CRI,0.94,0.36,1.67,5.15,LCN,0.18,0.32,0.07,0.25,0.11,0.56
CZE,4.64,0.39,0.85,10.51,ECS,0.44,0.08,0.04,0.04,0.4,0.52
DEU,20.96,0.23,0.93,83.2,ECS,0.25,0.01,0,0.01,0.25,0.74
DJI,0.98,0.93,1.05,1.11,MEA,0.89,0.95,0.84,0.11,0.05,0
EGY,37.4,34,98.07,109.26,MEA,0.34,0.9,0.31,0.59,0.03,0.07
ESP,11.23,0.53,1.99,46.75,ECS,0.24,0.04,0.01,0.03,0.23,0.73
ETH,42.52,42.3,116.68,120.28,SSF,0.35,0.97,0.35,0.62,0,0.03
FIN,0.43,0.01,0.06,4.72,ECS,0.09,0.01,0,0.01,0.09,0.9
FJI,0.92,0.55,0.55,0.92,EAS,0.99,0.6,0.59,0.01,0.4,0
GBR,10.04,1.68,11.34,67.03,ECS,0.15,0.17,0.03,0.14,0.12,0.71
GEO,1.16,0.74,2.21,3.71,ECS,0.31,0.6,0.2,0.4,0.11,0.29
GHA,15.84,15.84,32.83,32.83,SSF,0.48,1,0.48,0.52,0,0
GIN,5.31,5.31,13.53,13.53,SSF,0.39,1,0.39,0.61,0,0
GMB,2.15,2,2.45,2.64,SSF,0.82,0.93,0.76,0.17,0.06,0.01
GNB,0.54,0.54,2.05,2.06,SSF,0.26,1,0.26,0.73,0,0
GRC,3.35,0.45,1.25,10.57,ECS,0.32,0.12,0.04,0.07,0.27,0.61
HTI,11.45,11.43,11.43,11.45,LCN,1,1,1,0,0,0
HUN,4.01,0.55,1.28,9.71,ECS,0.41,0.13,0.06,0.08,0.36,0.51
IDN,62.72,51.92,220.13,273.75,EAS,0.23,0.8,0.19,0.61,0.04,0.16
IND,1236.07,901.27,1000.15,1398.78,SAS,0.88,0.72,0.64,0.07,0.24,0.05
IRN,20.75,2.89,8.24,70.18,MEA,0.3,0.12,0.04,0.08,0.25,0.63
IRQ,33.36,28.55,37.2,43.53,MEA,0.77,0.85,0.66,0.2,0.11,0.04
ISR,1.43,0.03,0.18,9.37,MEA,0.15,0.02,0,0.02,0.15,0.83
ITA,16.02,3.02,10.9,59.13,ECS,0.27,0.18,0.05,0.13,0.22,0.6
JOR,0.75,0.58,8.5,11.15,MEA,0.07,0.76,0.05,0.71,0.01,0.22
KAZ,4.59,3.79,15.28,19,ECS,0.24,0.8,0.2,0.61,0.04,0.15
KEN,15.07,14.41,49.28,53.01,SSF,0.28,0.93,0.27,0.66,0.01,0.06
LBN,0.75,0.75,5.57,5.59,MEA,0.13,1,0.13,0.86,0,0
LBR,0.27,0.27,1.74,1.74,SSF,0.16,1,0.16,0.84,0,0
LKA,8.92,6.49,15.91,21.81,SAS,0.41,0.73,0.3,0.43,0.11,0.16
LSO,1.2,1.18,2.19,2.28,SSF,0.53,0.96,0.52,0.44,0.01,0.03
MAR,8.69,6.42,22.67,37.08,MEA,0.23,0.61,0.17,0.44,0.06,0.33
MDA,1.37,1.31,2.42,2.6,ECS,0.53,0.93,0.51,0.43,0.02,0.04
MDG,17.8,17.8,28.92,28.92,SSF,0.62,1,0.62,0.38,0,0
MEX,42.42,34.77,100.83,126.71,LCN,0.33,0.8,0.27,0.52,0.06,0.14
MLI,14.13,14.12,21.88,21.9,SSF,0.64,1,0.64,0.35,0,0
MNE,0.17,0.09,0.32,0.62,ECS,0.27,0.52,0.15,0.37,0.12,0.35
MNG,0.09,0.01,0.2,1.57,EAS,0.06,0.13,0.01,0.12,0.05,0.82
MOZ,14.69,14.59,31.67,32.08,SSF,0.46,0.99,0.45,0.53,0,0.01
MRT,3.7,3.64,4.53,4.61,SSF,0.8,0.98,0.79,0.19,0.01,0
MUS,1.27,0.3,0.3,1.27,SSF,1,0.24,0.24,0,0.76,0
MWI,7.66,7.66,19.78,19.78,SSF,0.39,1,0.39,0.61,0,0
MYS,9.31,3.01,11.06,33.57,EAS,0.28,0.33,0.09,0.24,0.19,0.48
NAM,1.52,1.52,2.53,2.53,SSF,0.6,1,0.6,0.4,0,0
NER,18.26,18.26,25.25,25.25,SSF,0.72,1,0.72,0.28,0,0
NGA,71.42,71.42,206.87,206.87,SSF,0.35,1,0.35,0.65,0,0
NIC,2.31,2.21,6.3,6.85,LCN,0.34,0.92,0.32,0.6,0.01,0.07
PAK,204.6,204.6,231.4,231.4,MEA,0.88,1,0.88,0.12,0,0
PAN,0.78,0.61,1.44,1.97,LCN,0.4,0.73,0.31,0.42,0.09,0.18
PER,8.17,7.01,23.95,33.72,LCN,0.24,0.71,0.21,0.5,0.03,0.26
PNG,1.64,1.58,9.4,9.95,EAS,0.16,0.94,0.16,0.79,0.01,0.05
