year,rate1,rate2,rate4,rateH
2025,10.11,10.11,10.11,10.11
2026,10.06,9.87,9.5,10.18
2027,10.01,9.64,8.92,10.3
2028,9.96,9.41,8.36,10.44
2029,9.91,9.18,7.83,10.6
2030,9.86,8.95,7.32,10.79
2031,9.8,8.73,6.82,10.99
2032,9.75,8.5,6.35,11.2
2033,9.69,8.28,5.9,11.41
2034,9.64,8.07,5.46,11.64
2035,9.58,7.85,5.05,11.87
2036,9.52,7.63,4.66,12.1
2037,9.45,7.42,4.29,12.34
2038,9.39,7.2,3.94,12.58
2039,9.33,6.99,3.61,12.82
2040,9.26,6.78,3.3,13.06
2041,9.19,6.58,3.01,13.3
2042,9.12,6.37,2.74,13.54
2043,9.05,6.17,2.5,13.78
2044,8.98,5.97,2.27,14.02
2045,8.91,5.77,2.06,14.26
2046,8.83,5.57,1.87,14.5
2047,8.76,5.38,1.69,14.74
2048,8.68,5.19,1.53,14.97
2049,8.6,5.01,1.37,15.22
2050,8.53,4.83,1.23,15.46
