year,indicator,mean_value,lower,upper
1951,education,0.665,0.64,0.683
1952,education,0.658,0.634,0.676
1953,education,0.652,0.629,0.668
1954,education,0.645,0.623,0.662
1955,education,0.639,0.618,0.655
1956,education,0.66,0.639,0.676
1957,education,0.683,0.663,0.699
1958,education,0.705,0.687,0.722
1959,education,0.728,0.71,0.745
1960,education,0.752,0.735,0.771
1961,education,0.789,0.772,0.809
1962,education,0.828,0.81,0.848
1963,education,0.864,0.846,0.885
1964,education,0.901,0.883,0.923
1965,education,0.944,0.926,0.966
1966,education,1.001,0.985,1.024
1967,education,1.057,1.043,1.082
1968,education,1.118,1.104,1.143
1969,education,1.177,1.165,1.204
1970,education,1.235,1.224,1.262
1971,education,1.232,1.221,1.259
1972,education,1.228,1.218,1.255
1973,education,1.226,1.216,1.253
1974,education,1.225,1.215,1.25
1975,education,1.224,1.215,1.249
1976,education,1.241,1.231,1.266
1977,education,1.257,1.247,1.282
1978,education,1.273,1.262,1.298
1979,education,1.288,1.277,1.312
1980,education,1.302,1.292,1.327
1981,education,1.27,1.261,1.295
1982,education,1.239,1.23,1.264
1983,education,1.208,1.2,1.234
1984,education,1.179,1.17,1.205
1985,education,1.153,1.145,1.179
1986,education,1.135,1.128,1.161
1987,education,1.12,1.112,1.147
1988,education,1.11,1.101,1.136
1989,education,1.1,1.092,1.128
1990,education,1.092,1.084,1.12
1991,education,1.084,1.075,1.112
1992,education,1.076,1.067,1.102
1993,education,1.07,1.061,1.096
1994,education,1.066,1.057,1.091
1995,education,1.289,1.28,1.316
1996,education,1.277,1.268,1.301
1997,education,1.265,1.256,1.289
1998,education,1.258,1.248,1.281
1999,education,1.251,1.241,1.274
2000,education,1.234,1.223,1.256
2001,education,1.25,1.238,1.272
2002,education,1.263,1.25,1.286
2003,education,1.277,1.264,1.3
2004,education,1.239,1.227,1.261
2005,education,1.177,1.165,1.198
2006,education,1.163,1.15,1.185
2007,education,1.145,1.134,1.168
2008,education,1.135,1.125,1.157
2009,education,1.098,1.088,1.12
2010,education,1.109,1.099,1.13
2011,education,1.108,1.097,1.129
2012,education,1.124,1.112,1.148
2013,education,1.062,1.051,1.083
2014,education,1.061,1.051,1.085
2015,education,1.074,1.062,1.096
2016,education,1.088,1.076,1.113
2017,education,1.058,1.045,1.08
2018,education,1.086,1.073,1.109
2019,education,1.099,1.085,1.125
2020,education,1.063,1.048,1.089
2021,education,1.071,1.056,1.094
2022,education,0.94,0.927,0.96
2023,education,0.723,0.713,0.739
1951,electricity,1.532,1.491,1.636
1952,electricity,1.384,1.339,1.492
1953,electricity,1.417,1.375,1.51
1954,electricity,1.569,1.52,1.681
1955,electricity,1.841,1.778,1.974
1956,electricity,1.847,1.784,1.969
1957,electricity,1.952,1.885,2.07
1958,electricity,1.932,1.867,2.037
1959,electricity,1.86,1.804,1.95
1960,electricity,1.661,1.617,1.742
1961,electricity,1.778,1.726,1.87
1962,electricity,1.671,1.626,1.752
1963,electricity,1.757,1.711,1.845
1964,electricity,1.948,1.886,2.069
1965,electricity,1.941,1.879,2.064
1966,electricity,2.023,1.961,2.129
1967,electricity,2.082,2.016,2.194
1968,electricity,2.185,2.115,2.298
1969,electricity,2.217,2.129,2.33
1970,electricity,2.277,2.165,2.462
1971,electricity,2.104,2.007,2.245
1972,electricity,2.25,2.148,2.402
