year,value
1951,0.981
1951.91,1.042
1952.82,1.099
1953.73,1.154
1954.65,1.206
1955.56,1.253
1956.47,1.298
1957.38,1.338
1958.29,1.372
1959.2,1.404
1960.11,1.429
1961.03,1.454
1961.94,1.479
1962.85,1.489
1963.76,1.467
1964.67,1.427
1965.58,1.393
1966.49,1.335
1967.41,1.268
1968.32,1.213
1969.23,1.188
1970.14,1.193
1971.05,1.212
1971.96,1.229
1972.87,1.261
1973.78,1.303
1974.7,1.323
1975.61,1.349
1976.52,1.372
1977.43,1.384
1978.34,1.375
1979.25,1.343
1980.16,1.3
1981.08,1.261
1981.99,1.207
1982.9,1.153
1983.81,1.123
1984.72,1.096
1985.63,1.073
1986.54,1.056
1987.46,1.051
1988.37,1.064
1989.28,1.083
1990.19,1.092
1991.1,1.096
1992.01,1.101
1992.92,1.097
1993.84,1.084
1994.75,1.072
1995.66,1.072
1996.57,1.094
1997.48,1.131
1998.39,1.175
1999.3,1.219
2000.22,1.286
2001.13,1.344
2002.04,1.399
2002.95,1.462
2003.86,1.516
2004.77,1.548
2005.68,1.548
2006.59,1.526
2007.51,1.494
2008.42,1.455
2009.33,1.389
2010.24,1.331
2011.15,1.275
2012.06,1.214
2012.97,1.15
2013.89,1.087
2014.8,1.025
2015.71,0.961
2016.62,0.898
2017.53,0.837
2018.44,0.778
2019.35,0.718
2020.27,0.658
2021.18,0.598
2022.09,0.538
2023,0.478
