year,value,iso3c
1951,1.085,EAS
1951.91,1.092,EAS
1952.82,1.099,EAS
1953.73,1.106,EAS
1954.65,1.114,EAS
1955.56,1.122,EAS
1956.47,1.13,EAS
1957.38,1.139,EAS
1958.29,1.149,EAS
1959.2,1.158,EAS
1960.11,1.167,EAS
1961.03,1.176,EAS
1961.94,1.184,EAS
1962.85,1.193,EAS
1963.76,1.202,EAS
1964.67,1.21,EAS
1965.58,1.221,EAS
1966.49,1.236,EAS
1967.41,1.254,EAS
1968.32,1.271,EAS
1969.23,1.282,EAS
1970.14,1.297,EAS
1971.05,1.316,EAS
1971.96,1.336,EAS
1972.87,1.351,EAS
1973.78,1.357,EAS
1974.7,1.348,EAS
1975.61,1.324,EAS
1976.52,1.294,EAS
1977.43,1.268,EAS
1978.34,1.254,EAS
1979.25,1.231,EAS
1980.16,1.2,EAS
1981.08,1.167,EAS
1981.99,1.14,EAS
1982.9,1.124,EAS
1983.81,1.122,EAS
1984.72,1.126,EAS
1985.63,1.134,EAS
1986.54,1.14,EAS
1987.46,1.146,EAS
1988.37,1.163,EAS
1989.28,1.188,EAS
1990.19,1.215,EAS
1991.1,1.24,EAS
1992.01,1.257,EAS
1992.92,1.272,EAS
1993.84,1.288,EAS
1994.75,1.305,EAS
1995.66,1.317,EAS
1996.57,1.321,EAS
1997.48,1.32,EAS
1998.39,1.315,EAS
1999.3,1.307,EAS
2000.22,1.3,EAS
2001.13,1.294,EAS
2002.04,1.289,EAS
2002.95,1.284,EAS
2003.86,1.278,EAS
2004.77,1.271,EAS
2005.68,1.264,EAS
2006.59,1.263,EAS
2007.51,1.263,EAS
2008.42,1.26,EAS
2009.33,1.249,EAS
2010.24,1.227,EAS
2011.15,1.2,EAS
2012.06,1.171,EAS
2012.97,1.137,EAS
2013.89,1.097,EAS
2014.8,1.052,EAS
2015.71,1.003,EAS
2016.62,0.95,EAS
2017.53,0.893,EAS
2018.44,0.831,EAS
2019.35,0.765,EAS
2020.27,0.693,EAS
2021.18,0.617,EAS
2022.09,0.536,EAS
2023,0.45,EAS
1951,1.435,ECS
1951.91,1.445,ECS
1952.82,1.456,ECS
1953.73,1.466,ECS
1954.65,1.476,ECS
1955.56,1.486,ECS
1956.47,1.496,ECS
1957.38,1.506,ECS
1958.29,1.517,ECS
1959.2,1.526,ECS
1960.11,1.536,ECS
1961.03,1.545,ECS
1961.94,1.554,ECS
1962.85,1.563,ECS
1963.76,1.572,ECS
1964.67,1.58,ECS
1965.58,1.589,ECS
1966.49,1.603,ECS
1967.41,1.62,ECS
1968.32,1.634,ECS
1969.23,1.642,ECS
1970.14,1.65,ECS
1971.05,1.661,ECS
1971.96,1.67,ECS
1972.87,1.674,ECS
1973.78,1.67,ECS
1974.7,1.655,ECS
1975.61,1.628,ECS
1976.52,1.597,ECS
1977.43,1.568,ECS
1978.34,1.545,ECS
1979.25,1.517,ECS
1980.16,1.484,ECS
1981.08,1.449,ECS
1981.99,1.414,ECS
1982.9,1.383,ECS
1983.81,1.346,ECS
1984.72,1.294,ECS
1985.63,1.24,ECS
1986.54,1.197,ECS
1987.46,1.174,ECS
1988.37,1.15,ECS
1989.28,1.124,ECS
1990.19,1.103,ECS
1991.1,1.094,ECS
1992.01,1.102,ECS
1992.92,1.134,ECS
1993.84,1.184,ECS
1994.75,1.242,ECS
1995.66,1.295,ECS
1996.57,1.347,ECS
1997.48,1.43,ECS
1998.39,1.531,ECS
1999.3,1.633,ECS
2000.22,1.715,ECS
2001.13,1.761,ECS
2002.04,1.803,ECS
2002.95,1.853,ECS
2003.86,1.898,ECS
