year,value,indicator
1951,0.66,education
1951.91,0.653,education
1952.82,0.65,education
1953.73,0.65,education
1954.65,0.654,education
1955.56,0.662,education
1956.47,0.674,education
1957.38,0.689,education
1958.29,0.708,education
1959.2,0.731,education
1960.11,0.757,education
1961.03,0.787,education
1961.94,0.822,education
1962.85,0.858,education
1963.76,0.9,education
1964.67,0.946,education
1965.58,0.989,education
1966.49,1.037,education
1967.41,1.085,education
1968.32,1.129,education
1969.23,1.163,education
1970.14,1.188,education
1971.05,1.209,education
1971.96,1.227,education
1972.87,1.237,education
1973.78,1.243,education
1974.7,1.252,education
1975.61,1.26,education
1976.52,1.266,education
1977.43,1.269,education
1978.34,1.269,education
1979.25,1.267,education
1980.16,1.263,education
1981.08,1.254,education
1981.99,1.237,education
1982.9,1.217,education
1983.81,1.199,education
1984.72,1.174,education
1985.63,1.148,education
1986.54,1.126,education
1987.46,1.112,education
1988.37,1.096,education
1989.28,1.084,education
1990.19,1.083,education
1991.1,1.093,education
1992.01,1.107,education
1992.92,1.125,education
1993.84,1.152,education
1994.75,1.181,education
1995.66,1.206,education
1996.57,1.224,education
1997.48,1.246,education
1998.39,1.264,education
1999.3,1.272,education
2000.22,1.269,education
2001.13,1.263,education
2002.04,1.253,education
2002.95,1.237,education
2003.86,1.218,education
2004.77,1.201,education
2005.68,1.185,education
2006.59,1.165,education
2007.51,1.146,education
2008.42,1.13,education
2009.33,1.115,education
2010.24,1.103,education
2011.15,1.097,education
2012.06,1.095,education
2012.97,1.094,education
2013.89,1.09,education
2014.8,1.086,education
2015.71,1.084,education
2016.62,1.078,education
2017.53,1.062,education
2018.44,1.043,education
2019.35,1.018,education
2020.27,0.989,education
2021.18,0.955,education
2022.09,0.917,education
2023,0.874,education
1951,1.443,electricity
1951.91,1.508,electricity
1952.82,1.567,electricity
1953.73,1.617,electricity
1954.65,1.661,electricity
1955.56,1.7,electricity
1956.47,1.732,electricity
1957.38,1.761,electricity
1958.29,1.788,electricity
1959.2,1.803,electricity
