rate,change
0,-0.01
0.1,-0.01
0.2,-0.01
0.3,-0.015
0.4,-0.02
0.5,-0.024
0.6,-0.029
0.7,-0.034
0.8,-0.039
0.9,-0.044
1,-0.049
1.2,-0.058
1.3,-0.063
1.4,-0.067
1.5,-0.072
1.6,-0.077
1.7,-0.081
1.8,-0.086
1.9,-0.09
2,-0.095
2.1,-0.1
2.4,-0.113
2.5,-0.117
2.6,-0.122
2.7,-0.126
2.8,-0.131
2.9,-0.135
3,-0.14
3.1,-0.144
3.2,-0.148
3.3,-0.152
3.4,-0.157
3.5,-0.161
3.6,-0.165
3.7,-0.169
3.8,-0.173
3.9,-0.178
4,-0.182
4.2,-0.19
4.3,-0.194
4.5,-0.202
4.7,-0.21
4.8,-0.214
5,-0.222
5.2,-0.23
5.3,-0.233
5.4,-0.237
5.5,-0.241
5.6,-0.245
5.7,-0.248
5.8,-0.252
5.9,-0.256
6,-0.26
6.1,-0.263
6.2,-0.267
6.3,-0.27
6.4,-0.274
6.5,-0.278
6.6,-0.281
6.7,-0.285
6.8,-0.288
6.9,-0.292
7,-0.295
7.1,-0.299
7.2,-0.302
7.3,-0.306
7.4,-0.309
7.5,-0.312
7.6,-0.316
7.7,-0.319
7.8,-0.322
7.9,-0.325
8,-0.329
8.1,-0.332
8.4,-0.342
8.5,-0.345
8.6,-0.348
8.9,-0.357
9,-0.36
9.1,-0.363
9.4,-0.372
9.5,-0.375
9.6,-0.378
9.9,-0.387
10,-0.389
10.1,-0.392
10.3,-0.398
10.4,-0.401
10.5,-0.403
10.6,-0.406
10.7,-0.409
10.8,-0.411
10.9,-0.414
11,-0.417
11.1,-0.419
11.2,-0.422
11.3,-0.424
11.4,-0.427
11.5,-0.429
11.6,-0.432
11.7,-0.434
11.8,-0.437
11.9,-0.439
12,-0.441
12.1,-0.444
12.2,-0.446
12.3,-0.449
12.4,-0.451
12.5,-0.453
12.6,-0.455
12.7,-0.458
12.8,-0.46
12.9,-0.462
13,-0.464
13.1,-0.467
13.2,-0.469
13.3,-0.471
13.4,-0.473
13.5,-0.475
13.6,-0.477
13.7,-0.48
13.8,-0.482
13.9,-0.484
14,-0.486
14.1,-0.488
14.2,-0.49
14.3,-0.492
14.4,-0.494
14.5,-0.496
14.6,-0.498
14.7,-0.5
14.8,-0.502
14.9,-0.503
15,-0.505
15.1,-0.507
15.2,-0.509
15.3,-0.511
15.4,-0.513
15.5,-0.514
15.6,-0.516
15.7,-0.518
15.8,-0.52
15.9,-0.522
16,-0.523
16.2,-0.527
16.3,-0.528
16.5,-0.532
16.7,-0.535
16.8,-0.537
17,-0.54
17.2,-0.543
17.3,-0.545
17.5,-0.548
17.7,-0.551
17.8,-0.552
18,-0.555
18.2,-0.558
18.3,-0.56
18.5,-0.563
18.7,-0.565
18.8,-0.567
19,-0.57
19.2,-0.572
19.3,-0.574
19.5,-0.576
19.7,-0.579
19.8,-0.581
20,-0.583
20.2,-0.586
20.3,-0.587
20.5,-0.589
20.6,-0.591
20.7,-0.592
20.8,-0.593
20.9,-0.594
21,-0.595
21.1,-0.597
21.2,-0.598
21.3,-0.599
21.4,-0.6
21.5,-0.601
21.6,-0.603
21.7,-0.604
21.8,-0.605
21.9,-0.606
22,-0.607
22.1,-0.608
22.2,-0.61
22.3,-0.611
22.4,-0.612
22.5,-0.613
22.6,-0.614
22.7,-0.615
22.8,-0.616
22.9,-0.617
23,-0.618
23.1,-0.62
23.2,-0.621
23.3,-0.622
23.4,-0.623
23.5,-0.624
23.6,-0.625
23.7,-0.626
23.8,-0.627
23.9,-0.628
24,-0.629
24.1,-0.63
24.2,-0.631
24.3,-0.632
24.4,-0.633
24.5,-0.634
24.6,-0.635
24.7,-0.636
24.8,-0.637
24.9,-0.638
25,-0.639
25.1,-0.64
25.2,-0.641
25.3,-0.642
25.4,-0.643
25.5,-0.644
25.6,-0.645
25.7,-0.646
25.8,-0.647
25.9,-0.647
26,-0.648
26.1,-0.649
26.2,-0.65
26.3,-0.651
26.4,-0.652
26.5,-0.653
26.6,-0.654
26.7,-0.655
26.8,-0.656
26.9,-0.656
27,-0.657
27.1,-0.658
27.2,-0.659
27.3,-0.66
27.4,-0.661
27.5,-0.662
27.6,-0.662
27.7,-0.663
27.8,-0.664
27.9,-0.665
28,-0.666
28.1,-0.666
28.2,-0.667
28.3,-0.668
28.4,-0.669
28.5,-0.67
28.6,-0.67
28.7,-0.671
28.8,-0.672
28.9,-0.673
29,-0.673
29.1,-0.674
29.2,-0.675
29.3,-0.676
29.4,-0.676
29.5,-0.677
29.6,-0.678
29.7,-0.679
29.8,-0.679
29.9,-0.68
30,-0.681
30.1,-0.681
30.2,-0.682
30.3,-0.683
30.4,-0.683
30.5,-0.684
30.6,-0.685
30.7,-0.686
30.8,-0.686
30.9,-0.687
31,-0.688
31.1,-0.688
31.2,-0.689
31.3,-0.69
31.4,-0.69
31.5,-0.691
31.6,-0.691
31.7,-0.692
31.8,-0.693
31.9,-0.693
32,-0.694
32.1,-0.694
32.4,-0.696
32.5,-0.697
32.6,-0.697
32.9,-0.699
33,-0.7
33.1,-0.7
33.4,-0.702
33.5,-0.702
33.6,-0.703
33.9,-0.705
34,-0.705
34.1,-0.706
34.4,-0.707
34.5,-0.708
34.6,-0.708
34.9,-0.71
35,-0.71
35.1,-0.711
35.4,-0.712
35.5,-0.712
35.6,-0.713
35.9,-0.714
36,-0.715
36.1,-0.715
36.4,-0.716
36.5,-0.717
36.6,-0.717
36.9,-0.718
37,-0.719
37.1,-0.719
37.4,-0.72
37.5,-0.721
37.6,-0.721
37.9,-0.722
38,-0.722
38.1,-0.722
38.4,-0.723
38.5,-0.724
38.6,-0.724
38.9,-0.725
39,-0.725
39.1,-0.725
39.4,-0.726
39.5,-0.727
39.6,-0.727
39.9,-0.728
40,-0.728
40.1,-0.728
40.4,-0.729
40.5,-0.73
40.6,-0.73
40.9,-0.73
41,-0.73
41.1,-0.73
41.2,-0.729
41.3,-0.729
41.4,-0.729
41.5,-0.729
41.6,-0.729
41.7,-0.729
41.8,-0.729
41.9,-0.729
42,-0.729
42.1,-0.729
42.2,-0.728
42.3,-0.728
42.4,-0.728
42.5,-0.728
42.6,-0.728
42.7,-0.728
42.8,-0.728
42.9,-0.728
43,-0.728
43.1,-0.728
43.2,-0.727
43.3,-0.727
43.4,-0.727
43.5,-0.727
43.6,-0.727
43.7,-0.727
43.8,-0.727
43.9,-0.727
44,-0.727
44.1,-0.727
44.2,-0.726
44.3,-0.726
44.4,-0.726
44.5,-0.726
44.6,-0.726
44.7,-0.726
44.8,-0.726
44.9,-0.726
45,-0.726
45.1,-0.725
45.2,-0.725
45.3,-0.725
45.4,-0.725
45.5,-0.725
45.6,-0.725
45.7,-0.725
45.8,-0.725
45.9,-0.725
46,-0.725
46.1,-0.724
46.2,-0.724
46.3,-0.724
46.4,-0.724
46.5,-0.724
46.6,-0.724
46.7,-0.724
46.8,-0.724
46.9,-0.724
47,-0.724
47.1,-0.723
47.2,-0.723
47.3,-0.723
47.4,-0.723
47.5,-0.723
47.6,-0.723
47.7,-0.723
47.8,-0.723
47.9,-0.723
48,-0.723
48.1,-0.722
48.2,-0.722
48.3,-0.722
48.4,-0.722
48.5,-0.722
48.6,-0.722
48.7,-0.722
48.8,-0.722
48.9,-0.722
49,-0.722
49.1,-0.721
49.2,-0.721
49.3,-0.721
49.4,-0.721
49.5,-0.721
49.6,-0.721
49.7,-0.721
49.8,-0.721
49.9,-0.721
50,-0.721
50.1,-0.72
50.2,-0.72
50.3,-0.72
50.4,-0.72
50.5,-0.72
50.6,-0.72
50.7,-0.72
50.8,-0.719
50.9,-0.719
51,-0.719
51.1,-0.718
51.2,-0.718
51.3,-0.718
51.4,-0.717
51.5,-0.717
