rate,change
40.1,-0.44
39.4,-0.14
38.9,-0.46
38.3,-0.56
39.4,-0.7
37.9,-0.54
38.7,-1.36
36.6,-0.72
35.5,-0.64
35.9,-1.2
35.2,-1.32
31.9,-0.88
33,-1.3
32.3,-1
29.9,-0.6
28.6,-0.54
27.5,-0.2
26.5,0.04
27.3,-0.34
26.9,-0.04
25.9,2.52
26.5,3
26.7,3.02
25.6,3.16
26.7,2.94
38.5,0.56
41.5,0.4
41.8,0.54
41.4,0.6
41.4,0.48
41.3,0.52
43.5,0.14
44.5,-0.1
44.4,-0.24
43.8,0.08
43.9,0.46
44.2,0.56
44,1.14
43.2,3.16
44.2,3.08
46.2,2.04
47,1.26
49.7,0.5
59,-1.46
59.6,-1.5
56.4,-0.84
53.3,-0.3
52.2,-0.7
51.7,-0.6
52.1,-1.12
52.2,-1.68
51.8,-2.04
48.7,-1.86
48.7,-2.18
46.5,-1.66
43.8,-1.16
41.6,-1.06
39.4,-0.98
37.8,-0.88
38.2,-1.36
38,-0.48
36.3,0.18
34.5,0.74
33.4,1.14
31.4,1.74
35.6,1.28
37.2,1.02
38.2,0.79
39.1,0.74
40.1,0.44
42,0.06
89.9,-0.52
89.1,-0.5
89,-0.56
88.5,-0.54
87.5,-0.5
87.3,-0.44
86.6,0.5
86.2,0.28
85.8,0.3
85,0.28
85.1,0.22
89.1,-0.72
87.6,-0.96
87.3,-0.76
86.4,-0.36
86.2,-1.22
85.5,-1.1
82.8,-0.24
83.5,-0.74
84.6,-0.76
80.1,0.22
80,-0.06
81.6,-0.96
79.8,-0.38
80.8,-0.54
81.2,-0.32
79.7,-0.58
76.8,0.22
77.9,-0.04
78.1,0.14
79.6,-0.7
76.8,-0.22
77.9,-0.64
77.7,-0.78
78.8,-0.96
76.1,-0.5
75.7,-0.62
74.7,-0.32
73.8,0.06
74,0.36
73.6,1.24
72.6,1.88
73.1,1.88
74.1,1.5
75.8,1.24
79.8,0.36
82,-0.28
82.5,-0.7
81.6,-0.52
82,-0.96
81.6,-0.94
80.6,-1.04
79,-0.72
79,-0.76
77.2,-0.3
76.9,-0.26
75.4,0.02
75.4,-0.04
75.2,-0.06
75.7,-0.24
75.6,-0.04
75.5,-0.1
75.2,-0.14
74.9,-0.26
74.5,-0.24
75.4,-0.24
75,-0.2
74.5,-0.06
73.6,0.18
73.3,0.23
74.2,0.01
54.2,1.06
56.1,0.84
57.7,0.76
59.1,0.28
58.9,0.22
59.5,0.04
60.3,-0.22
61.5,0
60.5,-0.08
60,-0.3
59.7,-0.42
59.2,-0.62
61.5,-0.9
60.1,-0.88
58.5,-0.74
57.6,-0.54
56.1,0.36
57,-0.48
55.7,-0.42
54.8,-0.42
54.9,0.66
57.9,0.16
54.6,0.68
53.6,0.96
52.7,0.84
58.2,-0.96
58.7,-2.4
58,-2.18
58.4,-0.84
56.9,-1.4
53.4,-1.48
46.7,-0.06
47.1,0.72
54.2,-0.74
49.9,1.24
46,0.94
46.4,0.7
50.7,-0.14
50.5,-0.48
56.1,-1.12
50.7,-0.8
49.9,-0.86
50,-1.48
48.1,-1.2
50.5,-2.06
46.7,-2.06
45.6,-2.1
42.6,-1.66
42.1,-1.6
40.2,-1.38
36.4,-0.44
35.1,-0.26
34.3,-0.46
34.1,-0.62
33.3,-0.42
34.2,-0.48
33.8,-0.38
32,0.8
31,2.46
31.2,1.94
31.8,1.92
31.9,1.86
36,0.8
43.3,-1.04
40.9,-1.16
41.4,-1.64
41.2,-2.32
40,-2.6
38.1,-2.52
35.1,-2.36
33.2,-2.26
92.3,-0.14
92.2,-0.16
92,-0.14
91.8,-0.16
91.7,-0.16
91.6,-0.18
91.4,-0.18
91.3,-0.26
91,-0.12
90.9,-0.14
90.7,-0.14
90.5,-0.1
90,-0.1
90.4,-0.18
90.2,-0.16
90,-0.1
90,-0.1
89.5,0
89.5,0.02
89.4,-0.08
89.5,-0.12
89.5,-0.26
89.5,-0.22
89.6,-0.28
89,-0.16
88.9,-0.12
88.2,0
88.4,-0.1
88.2,-0.04
88.2,0
88.3,-0.06
88.2,-0.1
87.9,0
88,-0.06
88.2,-0.08
88,-0.02
87.7,-0.02
87.9,-0.04
87.7,0
87.8,-0.02
87.9,-0.08
87.6,-0.22
87.7,-0.32
87.7,-0.5
87.7,-1.54
87.5,-1.5
86.5,-2.3
86.1,-2.98
85.2,-4.3
80,-3.34
80,-3.72
75,-2.96
71.2,-2.28
63.7,-0.98
63.3,-0.9
61.4,-0.84
60.2,-0.86
59.8,-1.02
58.8,-1.06
58.8,-1.12
57.2,-0.92
55.9,-0.9
54.7,-0.96
53.5,-1.06
53.2,-1.36
52.6,-1.42
51.4,-1.87
49.9,-1.63
48.2,-1.41
46.4,-1.36
45.5,-2.18
86.1,-0.16
85.9,-0.18
85.8,-0.18
85.7,-0.18
85.5,-0.18
85.3,-0.18
85,-0.18
84.9,-0.32
84.8,-0.36
84.6,-0.44
84.4,-0.52
84.1,-0.64
83.3,-0.64
83,-0.84
82.4,-1.22
81.8,-1.54
80.9,-2.18
80.1,-2.74
78.8,-3.04
76.3,-2.7
74.1,-2.4
70,-1.78
66.4,-1.34
63.6,-1.2
62.8,-1.26
62.1,-1.52
61.1,-1.62
59.7,-1.72
57.6,-1.72
56.5,-1.78
54.5,-1.64
53,-1.56
51.1,-1.62
49,-2.04
47.6,-2.22
46.3,-2.12
45.2,-2.06
43,-1.22
38.8,-0.22
36.5,0.26
35.7,0.16
34.9,0.04
36.9,-1.06
37.7,-1.22
37.8,-1.16
36.5,-0.64
35.1,0.16
31.6,0.62
31.6,0.62
32,0.02
33.3,-0.7
35.9,-1.76
34.7,-1.9
34.7,-2.46
32.1,-2.16
29.8,-1.8
27.1,-1.24
25.2,-0.98
22.4,-0.56
21.3,-0.2
20.8,0
20.9,0.08
20.3,0.2
19.6,0.14
20.3,-0.1
20.8,-0.24
21.3,-0.38
21.3,-0.45
20.3,-0.35
19.8,-0.07
19.6,0.11
66.7,-0.7
66.1,-0.72
65.5,-0.68
64.8,-0.66
63.9,-0.64
63.2,-0.42
62.5,-0.52
62.1,-0.02
61.5,0.24
60.7,0.4
61.1,0.38
59.9,0.72
62,0.14
62.7,0.06
62.7,-0.18
63,-0.24
63.5,-0.3
62.7,-0.04
63,-0.1
61.8,-0.12
61.8,0.02
62,-0.32
62.5,-0.66
62.5,-0.68
61.2,-0.12
61.9,0.1
60.4,0.56
59.2,0.42
59.1,1.06
60.6,0.28
62.4,-0.3
63.2,-0.62
61.3,0.2
64.4,-0.42
62,0.08
60.9,0.66
60.1,1.06
62.3,1.22
62.3,1.4
62.4,1.3
64.2,0.64
65.4,0.84
68.4,0.08
69.3,-0.2
68.9,-0.16
67.4,0.46
69.6,-0.12
68.8,-0.06
68.3,0.52
68.1,0.36
69.7,0.12
69,0.08
68.5,0.02
70.9,-0.46
69.9,-0.86
70.3,-1.28
69.4,-1.26
68.6,-1.32
68.6,1.32
65.6,1.9
63.9,2
63.1,2
62,2.06
75.2,-0.7
75.1,-0.8
73.9,-0.54
73.1,-0.3
72.3,-0.69
71.7,-0.64
71.1,-0.67
71.2,-0.83
14.7,-0.24
14.4,-0.34
14.1,-0.4
14,-0.5
13.8,-0.48
13.5,-0.52
12.7,-0.68
12.1,-0.36
11.5,-0.68
11.4,-0.92
10.9,-0.72
9.3,-0.5
10.3,-0.72
8.1,-0.42
6.8,-0.24
7.3,-0.54
6.8,-0.6
6.7,-0.58
6,-0.44
5.6,-0.36
4.6,-0.18
3.8,-0.16
3.8,-0.18
3.8,-0.22
3.8,-0.2
3.7,-0.04
3,0.1
2.9,0.18
2.7,0.5
2.8,0.58
3.5,0.44
3.5,-0.22
3.8,0.3
5.2,0.78
5.7,0.78
5.7,0.94
2.4,1.8
5.3,1.42
9.1,0.72
9.6,0.4
10.4,-0.58
11.4,-0.18
12.4,0
12.7,0.64
11.6,1.02
7.5,2
10.5,1.6
12.4,1.6
15.9,1.6
16.7,1.52
17.5,1.72
18.5,1.58
20.4,1.46
23.9,0.72
24.3,0.7
26.1,0.26
26.4,1.02
27.7,0.6
27.5,0.16
27.8,-0.2
27.4,-0.22
31.5,-1.34
30.7,-1.48
28.3,-1.16
26.8,-1.12
26.3,-0.76
24.8,-0.79
23.3,-0.66
22.5,-0.51
21.2,-0.35
22.5,-1.28
50.4,-1.06
49.9,-1.14
49.1,-1.2
48.2,-1.28
46.7,-1.22
45.1,-1
44.2,-0.78
43.1,-0.72
41.8,-0.58
40.6,-0.42
40.1,-0.3
40.3,-0.48
39.5,0.96
38.9,0.74
38.5,0.58
38.6,0.48
37.9,0.5
44.3,-0.78
42.6,-0.66
41.4,-0.88
41,-1.62
40.4,-0.68
40.4,-1.6
39.3,-3
37,-2.8
32.9,-1.6
37,-3.44
32.4,-2.78
24.3,-1.56
23,-1.66
24.9,-2.36
19.8,-1.52
18.5,-0.92
16.5,0.22
14.7,0.98
13.1,2.06
12.2,2.7
13.9,2.92
17.6,3.26
19.6,2.96
23.4,2.18
25.7,1.58
28.5,0.82
33.9,-0.34
34.4,-0.62
34.3,-0.76
33.6,-0.86
