year,rate1,rate2,rate4
2025,16.1,16.1,16.1
2026,15.58,15.08,14.09
2027,15.08,14.09,12.24
2028,14.58,13.15,10.56
2029,14.09,12.24,9.04
2030,13.61,11.38,7.7
2031,13.15,10.56,6.52
2032,12.69,9.78,5.51
2033,12.24,9.04,4.63
2034,11.8,8.35,3.88
2035,11.38,7.7,3.25
2036,10.96,7.09,2.71
2037,10.56,6.52,2.26
2038,10.16,6,1.89
2039,9.78,5.51,1.58
2040,9.4,5.05,1.32
2041,9.04,4.63,1.11
2042,8.69,4.24,0.93
2043,8.35,3.88,0.78
2044,8.02,3.55,0.66
2045,7.7,3.25,0.56
2046,7.39,2.97,0.48
2047,7.09,2.71,0.4
2048,6.8,2.48,0.36
2049,6.52,2.26,0.32
2050,6.26,2.07,0.28
