iso3c,mobile_broadband,fixed_broadband
AFG,60.1,0.1
ZAF,130.3,5.3
AGO,33.4,0.4
ALB,74.9,24.9
DZA,109.6,13.3
AND,108.4,52.4
ARG,83.2,26.1
ARM,103,20.3
SAU,181.2,44.1
ATG,52,10.7
AUS,128.2,36.5
AUT,132.1,30.1
AZE,89.4,21.8
BRA,98.9,24.1
BHS,96.7,25.3
BDI,12.1,0
BEL,98.7,44.2
BEN,57.3,0.3
BMU,79.1,51.3
BFA,56.8,0.9
BGD,56.5,8.1
BHR,145.7,17
BLR,107.6,36.3
BLZ,43.6,9.8
BOL,90.7,12.1
BWA,135.1,7.4
BRB,59.9,37.5
MMR,103.2,2.9
BRN,119.1,21.2
BTN,97.4,2.9
BGR,120,37
CAF,5.3,0
CAN,86.9,42.5
KHM,104.1,4.1
CHL,108.8,23.7
CHN,131.8,47.2
COL,93,17.2
LKA,73.5,8.5
CMR,17.4,2.1
COG,59.3,1.3
COM,108.4,0.4
CPV,95.1,8.3
CIV,108,1.6
CRI,103.6,23.3
CUB,52.4,3.1
CYP,91.6,37.6
DEU,97.5,45.6
DJI,34.8,1.5
DMA,88.7,20.9
DNK,146.9,43.4
DOM,76.1,11.2
ESP,115.8,39.2
EGY,75,11.7
ECU,64.7,17.2
EST,195.3,35.4
ETH,38.6,0.6
FRA,112.2,48.9
FJI,143.9,1.8
FIN,157.4,36.5
GBR,128.6,42.2
GAB,85.7,4.7
GHA,65.4,0.7
GIB,108.1,61
GMB,90.6,0.5
GNB,80.3,0.4
GNQ,1.2,0.1
GRC,97.3,44.7
GRD,76.4,29.8
GRL,3.2,32
GTM,108.8,5.3
GIN,53.5,0
GUY,32.7,12.9
HKG,176.7,40.3
HND,49.4,4.6
HUN,88.2,37.5
NLD,130.3,43
HRV,137.8,29.6
HTI,29.7,0.3
ITA,99.6,31.8
IND,61.9,3.2
IDN,117.6,4.9
IRL,120.1,32.3
IRN,126.9,12.1
IRQ,41.9,17.6
ISL,126.2,37.5
ISR,177.4,29.2
JPN,255.3,38.6
JAM,63.2,16
JOR,69.6,7
KEN,79.3,3
KIR,51.8,0
KOR,125.4,47.8
KWT,135.4,1
LAO,69.6,2.7
LBN,107.6,7.3
LBR,42.3,0.3
LBY,128,4.5
LCA,66.7,13.6
LIE,127.3,50
LSO,62,0.4
LTU,141.5,27.8
LUX,119.2,40.3
LVA,121.8,25.8
MAC,201.1,29.9
MUS,145.7,28
MCO,105.2,55.7
MDG,28.2,0.1
MEX,103.8,21.7
MYS,125.9,13.5
MDV,58.2,19.6
MLI,61,0.8
MLT,149.8,44.5
MNG,119,15.8
MOZ,30,0.1
MAR,98.3,7.3
MRT,70,0.9
MWI,44,0.1
NIC,70.3,5.8
NER,33,0.1
NGA,41.4,0.1
NAM,51.7,2.8
NOR,113.5,45.2
NPL,99.6,10.1
NRU,33.5,10
NZL,108.6,38
PYF,106.5,35.6
OMN,101.5,11.1
PAK,55.1,1.5
PHL,79.4,7.1
PNG,20.9,0.2
PAN,97.4,18.1
POL,219.3,25.4
PRT,102.5,45.2
PRY,80.2,12.9
PER,92.3,11.7
PRI,104.5,28
QAT,150.5,11.8
ROU,101.2,35.8
RWA,71.6,0.6
RUS,127.5,27.1
SWE,133.9,40.6
KNA,157.8,46.7
SDN,59.9,0.1
SEN,108.9,4
SYC,82.4,31.6
SLB,16.7,0.1
SLV,73.9,12.5
WSM,68.8,0.9
SMR,142.9,35.8
SGP,170.8,27.8
SOM,13,0.7
SLE,29.1,0
STP,44.6,3
CHE,114.6,47
SUR,109.2,18.8
SVN,102.1,34.2
SWZ,116.3,2.5
SYR,64.8,6.9
TCD,17.3,0
CZE,107.8,38.9
TGO,45.3,1.4
THA,108.7,14.9
TON,69,8.2
TTO,60,27
TUN,86.2,15
TUR,86.8,23.4
TZA,37.3,0.2
ARE,205.2,40.8
UGA,39.8,0.2
UKR,86.8,21.7
URY,113.5,33
USA,196.7,38.9
UZB,109.4,34.7
VCT,69.8,29.5
VEN,72.8,12.9
VGB,5.3,24.9
VNM,100.3,23.7
VUT,435.5,1.2
YEM,34.6,1.3
SRB,113.5,33.4
COD,30.1,0
ZMB,62.4,0.8
ZWE,71.3,1.9
MDA,96.6,29.6
BIH,69.4,29.4
GEO,120.8,30.4
KAZ,119,15.3
TJK,51.2,1
TKM,54.5,5.2
KGZ,92.3,7.8
SVK,99.1,33.8
MKD,88.2,29.9
ERI,34,0.2
FRO,100.4,34.6
TLS,28.6,0
PSE,16.4,8.2
MNE,115.8,32.3
SSD,6.4,0
CUW,53.7,31.5
